Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,4715.00,4799.39,4684.00,4747.00,2664200,4747.00
2017-03-01,4654.50,4700.38,4601.00,4676.50,3188600,4676.50
2017-02-28,4631.00,4732.12,4631.00,4644.00,2958800,4644.00
2017-02-27,4633.50,4689.90,4599.00,4608.50,1586600,4608.50
2017-02-24,4601.50,4675.17,4568.50,4609.00,2029200,4609.00
2017-02-23,4571.00,4694.84,4560.00,4600.50,2436600,4600.50
2017-02-22,4560.00,4612.77,4495.00,4556.00,2923100,4556.00
2017-02-21,4569.50,4665.60,4558.50,4562.00,1955600,4562.00
2017-02-20,4608.00,4645.38,4542.00,4570.00,1693100,4570.00
2017-02-17,4553.00,4753.20,4529.50,4595.00,3765000,4595.00
2017-02-16,4534.00,4663.20,4497.50,4524.50,2284800,4524.50
2017-02-15,4663.50,4747.32,4642.00,4684.00,2271200,4533.80
2017-02-14,4632.50,4702.45,4582.50,4626.00,2973600,4477.66
2017-02-13,4626.50,4729.89,4624.00,4650.50,2048900,4501.374
2017-02-10,4607.50,4680.05,4585.50,4626.50,3934500,4478.144
2017-02-09,4511.50,4664.64,4452.24,4575.00,2851000,4428.295
2017-02-08,4443.00,4560.70,4415.00,4484.50,3022700,4340.697
2017-02-07,4413.00,4542.14,4403.50,4449.50,3647900,4306.82
2017-02-06,4400.00,4477.40,4351.50,4387.50,2445400,4246.808
2017-02-03,4301.00,4454.54,4281.50,4358.00,4284500,4218.254
2017-02-02,4238.50,4291.50,4150.00,4272.50,4083800,4135.496
2017-02-01,4260.00,4351.68,4237.50,4247.00,3630000,4110.813
2017-01-31,4271.00,4310.21,4166.00,4194.00,4270500,4059.513
2017-01-30,4224.50,4334.11,4219.00,4260.50,2693900,4123.88
2017-01-27,4195.00,4323.12,4136.50,4239.00,5450700,4103.07
2017-01-26,4284.50,4402.46,4262.00,4298.00,2881700,4160.178
2017-01-25,4265.00,4359.77,4226.00,4262.50,3542700,4125.816
2017-01-24,4264.00,4331.52,4198.00,4215.00,3077200,4079.839
2017-01-23,4298.00,4386.73,4245.50,4255.50,5267000,4119.041
2017-01-20,4450.00,4509.98,4297.50,4318.50,5682800,4180.02
2017-01-19,4545.00,4615.57,4464.50,4468.50,4155400,4325.21
2017-01-18,4556.00,4600.00,4544.00,4580.50,2309800,4433.619
2017-01-17,4543.50,4688.01,4529.00,4530.50,2601100,4385.222
2017-01-16,4622.50,4657.13,4565.36,4575.50,1535800,4428.779
2017-01-13,4575.50,4678.96,4503.73,4609.00,3560800,4461.205
2017-01-12,4553.00,4611.69,4487.00,4555.50,5406600,4409.421
2017-01-11,4653.00,4733.32,4562.00,4577.00,5454400,4430.231
2017-01-10,4647.50,4719.91,4633.00,4660.00,2846400,4510.57
2017-01-09,4560.50,4631.91,4542.68,4607.50,3483400,4459.753
2017-01-06,4563.00,4582.33,4543.00,4550.50,2024500,4404.581
2017-01-05,4491.50,4580.91,4476.66,4550.00,2296000,4404.097
2017-01-04,4454.00,4554.00,4442.50,4476.50,2376500,4332.954
2017-01-03,4432.50,4550.67,4400.00,4439.00,3489700,4296.656
2017-01-02,4437.50,4437.50,4437.50,4437.50,000,4295.205
2016-12-30,4411.00,4497.00,4397.00,4437.50,1173700,4295.205
2016-12-29,4394.00,4469.40,4355.50,4427.00,1634000,4285.041
2016-12-28,4383.50,4495.87,4300.00,4417.00,1900200,4275.362
2016-12-27,4407.00,4407.00,4407.00,4407.00,000,4265.683
2016-12-26,4407.00,4407.00,4407.00,4407.00,000,4265.683
2016-12-23,4363.50,4476.99,4318.50,4407.00,671200,4265.683
2016-12-22,4321.00,4387.52,4317.72,4342.50,2496700,4203.251
2016-12-21,4302.50,4364.59,4289.44,4312.50,2350500,4174.213
2016-12-20,4309.00,4416.94,4304.00,4331.50,2360200,4192.604
2016-12-19,4400.00,4426.00,4303.50,4303.50,3517700,4165.501
2016-12-16,4415.50,4504.09,4395.00,4401.00,4462200,4259.875
2016-12-15,4343.00,4464.11,4329.00,4400.00,5021900,4258.907
2016-12-14,4312.50,4403.87,4286.50,4305.00,2866800,4166.953
2016-12-13,4174.00,4348.50,4174.00,4316.00,2824000,4177.601
2016-12-12,4259.00,4297.29,4176.00,4206.00,3492300,4071.128
2016-12-09,4149.50,4436.74,4134.50,4280.00,5521000,4142.755
2016-12-08,4028.50,4201.50,4011.00,4116.00,3867800,3984.014
2016-12-07,4058.00,4150.71,4007.00,4007.00,3936700,3878.509
2016-12-06,4035.50,4102.33,3996.00,4037.50,3189100,3908.031
2016-12-05,4027.50,4119.49,4019.00,4033.50,2437200,3904.159
2016-12-02,4048.00,4137.72,3998.50,4055.00,3200400,3924.97
2016-12-01,4092.50,4206.97,4052.00,4080.00,2991900,3949.168
2016-11-30,4240.00,4291.12,4144.00,4149.50,4746900,4016.44
2016-11-29,4260.50,4333.51,4215.00,4246.00,1885500,4109.845
2016-11-28,4268.00,4314.35,4232.00,4248.50,1789400,4112.265
2016-11-25,4250.00,4361.71,4225.00,4301.50,3255300,4163.566
2016-11-24,4183.50,4250.31,4143.00,4210.00,1582100,4075.00
2016-11-23,4201.50,4275.47,4115.00,4168.00,4109000,4034.346
2016-11-22,4369.00,4435.58,4205.50,4205.50,3428900,4070.644
2016-11-21,4334.00,4404.85,4299.42,4325.50,1906500,4186.796
2016-11-18,4355.00,4380.60,4273.00,4323.50,2031200,4184.86
2016-11-17,4343.00,4401.34,4317.00,4340.00,2667100,4200.831
2016-11-16,4376.00,4421.38,4309.50,4353.50,3187000,4213.898
2016-11-15,4352.50,4429.97,4331.00,4361.50,2358400,4221.642
2016-11-14,4375.50,4428.87,4331.00,4365.50,3273500,4225.513
2016-11-11,4364.00,4424.59,4270.00,4326.00,3042400,4187.28
2016-11-10,4600.00,4601.38,4299.00,4404.50,4839800,4263.263
2016-11-09,4600.00,4719.76,4481.00,4575.50,6176300,4428.779
2016-11-08,4416.00,4508.13,4409.16,4450.50,2246800,4307.788
2016-11-07,4413.00,4484.04,4372.00,4430.50,1880400,4288.429
2016-11-04,4355.50,4502.00,4346.00,4368.00,2001700,4227.933
2016-11-03,4508.00,4603.19,4429.00,4434.50,2872300,4292.301
2016-11-02,4500.00,4623.00,4490.00,4525.50,2694100,4380.383
2016-11-01,4583.00,4600.40,4496.00,4512.00,2567400,4367.316
2016-10-31,4643.00,4690.65,4585.00,4588.00,2415800,4440.879
2016-10-28,4563.50,4850.29,4533.50,4617.00,3480300,4468.949
2016-10-27,4766.50,4956.64,4502.00,4614.50,5493900,4466.529
2016-10-26,4818.00,4818.00,4724.50,4777.00,1967100,4623.818
2016-10-25,4845.50,4888.24,4781.00,4811.50,3051500,4657.212
2016-10-24,4946.50,5011.79,4835.50,4851.00,2728700,4695.445
2016-10-21,4974.00,5038.55,4935.00,4952.00,2552400,4793.206
2016-10-20,4922.50,5048.10,4921.84,4977.50,2096900,4817.889
2016-10-19,5024.00,5029.55,4932.50,4940.50,2175700,4782.075
2016-10-18,4980.50,5156.21,4893.18,5002.00,2473900,4841.603
2016-10-17,4940.50,5078.47,4872.51,4974.50,4597300,4814.985
2016-10-14,4942.00,4977.50,4928.00,4947.00,1884100,4788.367
2016-10-13,4951.50,5006.78,4892.50,4950.50,2007900,4791.754
2016-10-12,5051.00,5116.70,4950.00,4958.50,2480500,4799.498
2016-10-11,5080.00,5140.69,5024.00,5051.00,2351600,4889.032
2016-10-10,5090.00,5150.19,5053.00,5096.00,1954400,4932.589
2016-10-07,5035.00,5145.46,4992.07,5086.00,3392200,4922.909
2016-10-06,5061.00,5068.00,4984.95,5026.00,1649400,4864.833
2016-10-05,5040.00,5056.13,4992.50,5042.00,2708900,4880.32
2016-10-04,5015.00,5134.00,4982.50,5025.00,5347300,4863.865
2016-10-03,5022.00,5084.00,5004.00,5041.00,1501700,4879.352
2016-09-30,5014.00,5090.89,4947.00,5004.00,2836600,4843.539
2016-09-29,5118.00,5151.40,5007.00,5026.00,2701300,4864.833
2016-09-28,5068.00,5161.00,5058.00,5122.00,1719300,4957.755
2016-09-27,5127.00,5196.40,5006.00,5058.00,2143800,4895.807
2016-09-26,5139.00,5184.56,5098.82,5099.00,2059700,4935.492
2016-09-23,5145.00,5198.00,5109.00,5170.00,1872100,5004.216
2016-09-22,5097.00,5186.00,5072.00,5157.00,1668600,4991.633
2016-09-21,5128.00,5138.76,5060.00,5066.00,1422600,4903.551
2016-09-20,5084.00,5208.32,5069.25,5112.00,2585900,4948.076
2016-09-19,5116.00,5163.74,5057.00,5079.00,2140500,4916.134
2016-09-16,4991.50,5204.42,4911.52,5095.00,4505400,4931.621
2016-09-15,4938.50,5045.37,4763.97,4994.00,2428500,4833.859
2016-09-14,4894.00,5001.23,4874.00,4952.00,2508100,4793.206
2016-09-13,4858.50,4976.39,4834.15,4867.00,2728900,4710.932
2016-09-12,4803.50,4936.10,4777.00,4858.00,1889600,4702.221
2016-09-09,4867.50,4952.90,4812.50,4819.00,2388200,4664.471
2016-09-08,4888.00,4919.00,4831.50,4866.50,2038200,4710.448
2016-09-07,4853.50,4922.30,4837.00,4877.00,2427100,4720.611
2016-09-06,4905.00,4982.32,4863.50,4866.00,1854300,4709.964
2016-09-05,4955.00,5001.88,4885.00,4903.00,1256700,4745.778
2016-09-02,4824.50,5027.61,4822.50,4938.50,3892800,4780.139
2016-09-01,4925.00,4992.86,4798.00,4821.00,2632000,4666.407
2016-08-31,4991.00,5050.60,4897.00,4909.00,2339900,4751.585
2016-08-30,4962.00,5109.63,4962.00,5002.00,2342500,4841.603
2016-08-29,4955.00,4955.00,4955.00,4955.00,000,4796.11
2016-08-26,4994.00,5038.25,4942.00,4955.00,2184500,4796.11
2016-08-25,5024.00,5079.18,4926.95,5011.00,2474800,4850.314
2016-08-24,5042.00,5138.00,5010.00,5080.00,2378900,4917.102
2016-08-23,5103.00,5152.75,5062.00,5062.00,1439800,4899.679
2016-08-22,5041.00,5150.30,5028.00,5091.00,1538900,4927.749
2016-08-19,5074.00,5127.10,5035.00,5058.00,1891000,4895.807
2016-08-18,5072.00,5119.40,5008.00,5046.00,1973700,4884.192
2016-08-17,5082.00,5166.63,5056.00,5069.00,2109800,4906.454
2016-08-16,5119.00,5205.98,5079.00,5097.00,2136100,4933.557
2016-08-15,5105.00,5208.94,5097.00,5144.00,1727200,4979.049
2016-08-12,5154.00,5215.00,5085.00,5105.00,2578700,4941.30
2016-08-11,5121.00,5181.85,5102.00,5161.00,1919200,4995.504
2016-08-10,5153.00,5212.37,5114.00,5160.00,2843800,4928.039
2016-08-09,5174.00,5225.00,5108.00,5177.00,3073400,4944.275
2016-08-08,5188.00,5316.99,5054.00,5190.00,4200700,4956.691
2016-08-05,5138.00,5505.00,5053.00,5220.00,8138500,4985.342
2016-08-04,5038.00,5153.00,4985.48,5153.00,3295300,4921.354
2016-08-03,5025.00,5053.26,4966.00,5016.00,2394700,4790.513
2016-08-02,5068.00,5085.00,4973.30,5002.00,2378200,4777.142
2016-08-01,5064.00,5130.51,4987.00,5066.00,2563200,4838.265
2016-07-29,5000.00,5114.00,4918.00,5048.00,4311000,4821.074
2016-07-28,4649.50,5052.00,4637.05,5027.00,6918200,4801.018
2016-07-27,4662.50,4702.00,4640.00,4690.00,2498100,4479.167
2016-07-26,4675.00,4696.00,4628.50,4638.50,1905800,4429.983
2016-07-25,4675.50,4701.50,4593.43,4653.50,3208100,4444.308
2016-07-22,4546.50,4616.50,4529.00,4612.50,2403500,4405.151
2016-07-21,4562.00,4573.00,4522.14,4523.50,1929900,4320.152
2016-07-20,4565.00,4588.00,4540.83,4579.00,1662400,4373.157
2016-07-19,4523.00,4559.00,4502.50,4533.50,1661100,4329.703
2016-07-18,4517.00,4549.00,4501.00,4527.00,2095600,4323.495
2016-07-15,4470.50,4510.00,4460.00,4502.00,2855500,4299.619
