Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,230.40,235.15,229.10,229.50,58832600,229.50
2017-03-01,228.10,233.40,224.582,232.90,56748300,232.90
2017-02-28,224.50,227.45,222.75,226.50,67908700,226.50
2017-02-27,225.00,228.55,224.10,225.00,141718200,225.00
2017-02-24,229.45,238.825,221.975,225.90,45639100,225.90
2017-02-23,240.00,244.40,224.75,229.05,101825800,229.05
2017-02-22,238.00,240.20,233.20,235.15,41900200,235.15
2017-02-21,235.85,237.55,233.50,235.95,27779000,235.95
2017-02-20,237.80,240.018,236.955,237.50,39921100,237.50
2017-02-17,237.10,237.208,233.55,237.00,39329000,237.00
2017-02-16,238.75,240.70,237.312,238.00,34933600,238.00
2017-02-15,236.00,241.00,234.738,239.25,56437400,239.25
2017-02-14,231.20,236.60,230.70,235.25,42280200,235.25
2017-02-13,228.70,233.35,228.25,232.35,43470000,232.35
2017-02-10,231.05,231.35,226.60,228.65,36606200,228.65
2017-02-09,226.00,230.20,225.65,229.55,35017500,229.55
2017-02-08,225.65,227.80,221.10,224.95,41800800,224.95
2017-02-07,226.60,229.15,225.45,226.05,33574700,226.05
2017-02-06,229.50,233.35,227.355,227.40,42267800,227.40
2017-02-03,222.50,230.15,221.30,228.85,43542000,228.85
2017-02-02,223.90,224.70,220.20,221.35,42923100,221.35
2017-02-01,221.75,223.95,219.95,222.10,32776900,222.10
2017-01-31,222.80,226.05,219.10,219.45,48441400,219.45
2017-01-30,227.60,228.10,222.80,223.40,68379300,223.40
2017-01-27,231.85,234.575,228.45,230.60,28619300,230.60
2017-01-26,232.00,236.18,231.60,232.35,52157700,232.35
2017-01-25,230.05,233.00,230.05,230.85,41402200,230.85
2017-01-24,225.80,229.40,225.75,228.65,36563000,228.65
2017-01-23,225.25,225.30,222.15,224.50,28342200,224.50
2017-01-20,228.00,229.45,226.40,227.40,54380800,227.40
2017-01-19,229.30,235.017,226.80,228.30,37558800,228.30
2017-01-18,231.35,235.017,226.25,227.60,43766000,227.60
2017-01-17,229.00,235.55,229.00,231.60,48407900,231.60
2017-01-16,233.50,233.50,229.20,231.10,28280500,231.10
2017-01-13,231.05,236.15,231.05,235.25,39301400,235.25
2017-01-12,232.80,235.05,231.70,232.25,28992000,232.25
2017-01-11,236.55,237.50,231.75,234.20,36655700,234.20
2017-01-10,233.65,237.30,230.05,236.25,31718200,236.25
2017-01-09,239.00,240.00,232.55,234.05,32589700,234.05
2017-01-06,231.75,235.95,231.50,235.25,28600400,235.25
2017-01-05,234.50,236.90,230.85,232.55,36901900,232.55
2017-01-04,233.45,235.00,231.17,235.00,31177700,235.00
2017-01-03,226.10,234.55,224.80,231.90,55552000,231.90
2017-01-02,223.45,223.45,223.45,223.45,000,223.45
2016-12-30,221.35,223.45,220.083,223.45,15871500,223.45
2016-12-29,222.95,223.65,220.50,222.35,24654000,222.35
2016-12-28,225.50,226.05,223.50,224.75,24881100,224.75
2016-12-27,224.95,224.95,224.95,224.95,000,224.95
2016-12-26,224.95,224.95,224.95,224.95,000,224.95
2016-12-23,226.25,227.40,223.196,224.95,12081200,224.95
2016-12-22,227.95,229.80,225.60,227.00,20402100,227.00
2016-12-21,227.25,229.30,225.50,228.75,43712400,228.75
2016-12-20,222.55,227.75,221.619,227.65,29052000,227.65
2016-12-19,227.15,227.306,221.25,222.05,39900900,222.05
2016-12-16,229.90,230.15,226.795,228.15,54968200,228.15
2016-12-15,221.25,230.25,221.25,229.45,61953800,229.45
2016-12-14,227.90,228.25,221.75,221.75,66400000,221.75
2016-12-13,227.85,231.35,225.989,230.10,45813300,230.10
2016-12-12,232.50,234.20,227.025,227.55,56733300,227.55
2016-12-09,237.00,238.35,230.55,233.10,55294600,233.10
2016-12-08,235.50,240.20,233.68,239.00,59079600,239.00
2016-12-07,229.00,235.725,225.308,234.85,62594900,234.85
2016-12-06,215.75,227.27,212.634,226.75,64700800,226.75
2016-12-05,210.80,220.45,210.50,216.80,50466800,216.80
2016-12-02,217.70,267.32,211.10,212.95,60217400,212.95
2016-12-01,215.00,219.25,214.45,219.05,43643100,219.05
