Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,1365.00,1376.50,1340.00,1346.00,11652900,1346.00
2017-03-01,1318.00,1356.00,1297.68,1353.50,11006600,1353.50
2017-02-28,1312.00,1312.00,1287.00,1297.50,11671500,1297.50
2017-02-27,1321.00,1333.00,1307.50,1325.50,6148400,1325.50
2017-02-24,1335.00,1348.00,1293.50,1308.00,14707000,1308.00
2017-02-23,1359.50,1388.00,1341.50,1347.50,8011000,1347.50
2017-02-22,1399.50,1400.50,1355.00,1367.50,9933800,1367.50
2017-02-21,1435.50,1436.50,1390.50,1405.50,10016200,1405.50
2017-02-20,1408.00,1413.00,1391.00,1400.00,8627900,1400.00
2017-02-17,1405.50,1422.79,1385.00,1394.50,11856400,1394.50
2017-02-16,1430.00,1431.00,1407.00,1414.00,6377600,1414.00
2017-02-15,1400.50,1430.50,1399.00,1420.00,8426000,1420.00
2017-02-14,1381.00,1405.00,1375.00,1392.00,9363000,1392.00
2017-02-13,1418.00,1422.00,1379.88,1380.00,9939100,1380.00
2017-02-10,1378.00,1389.00,1354.50,1370.00,12583500,1370.00
2017-02-09,1350.50,1359.98,1319.00,1338.00,11692500,1338.00
2017-02-08,1400.00,1405.91,1339.00,1341.50,16196000,1341.50
2017-02-07,1390.00,1412.00,1381.50,1388.50,10509700,1388.50
2017-02-06,1400.50,1412.50,1382.50,1385.50,6808300,1385.50
2017-02-03,1400.50,1412.00,1374.75,1397.50,10345200,1397.50
2017-02-02,1449.50,1459.00,1432.50,1433.00,6346000,1433.00
2017-02-01,1449.50,1470.50,1440.00,1442.50,6290400,1442.50
2017-01-31,1418.00,1463.50,1414.50,1437.50,9160300,1437.50
2017-01-30,1439.00,1444.00,1413.00,1415.50,8149300,1415.50
2017-01-27,1439.50,1464.00,1439.00,1450.00,8880800,1450.00
2017-01-26,1464.00,1466.50,1428.00,1445.50,10080000,1445.50
2017-01-25,1502.00,1518.50,1453.00,1457.50,8404900,1457.50
2017-01-24,1491.00,1505.50,1471.50,1480.50,10461100,1480.50
2017-01-23,1432.50,1448.50,1426.20,1437.50,5564400,1437.50
2017-01-20,1436.50,1449.00,1426.50,1440.00,5663100,1440.00
2017-01-19,1455.00,1473.00,1434.50,1446.50,5760900,1446.50
2017-01-18,1430.50,1457.50,1418.50,1455.00,6062900,1455.00
2017-01-17,1455.50,1456.50,1433.50,1434.00,6333400,1434.00
2017-01-16,1475.00,1490.00,1455.37,1477.50,5859600,1477.50
2017-01-13,1440.00,1460.50,1429.50,1454.50,10127900,1454.50
2017-01-12,1423.00,1469.50,1418.97,1438.00,9567200,1438.00
2017-01-11,1400.00,1438.50,1389.53,1420.00,8298200,1420.00
2017-01-10,1353.00,1404.00,1351.50,1400.00,8902200,1400.00
2017-01-09,1337.00,1342.00,1326.50,1340.50,5664400,1340.50
2017-01-06,1315.50,1330.50,1303.00,1317.00,5393000,1317.00
2017-01-05,1334.00,1335.00,1312.00,1316.50,7354800,1316.50
2017-01-04,1335.00,1340.10,1306.50,1313.00,6424000,1313.00
2017-01-03,1307.50,1337.00,1307.50,1331.00,7535200,1331.00
2017-01-02,1306.50,1306.50,1306.50,1306.50,000,1306.50
2016-12-30,1300.00,1306.50,1284.00,1306.50,2690800,1306.50
2016-12-29,1313.50,1318.50,1293.00,1301.00,3754600,1301.00
2016-12-28,1315.00,1320.00,1304.00,1311.50,6685200,1311.50
2016-12-27,1257.50,1257.50,1257.50,1257.50,000,1257.50
2016-12-26,1257.50,1257.50,1257.50,1257.50,000,1257.50
2016-12-23,1263.00,1269.50,1254.82,1257.50,2158200,1257.50
2016-12-22,1283.50,1283.50,1267.50,1270.50,6405300,1270.50
2016-12-21,1299.50,1300.00,1278.00,1291.50,5843700,1291.50
2016-12-20,1288.50,1299.00,1267.00,1293.00,7215600,1293.00
2016-12-19,1299.50,1306.00,1274.00,1282.00,8566600,1282.00
2016-12-16,1309.50,1316.22,1294.00,1305.00,8265300,1305.00
2016-12-15,1340.00,1341.00,1302.50,1312.00,11740200,1312.00
2016-12-14,1358.50,1386.00,1345.00,1355.50,7581000,1355.50
2016-12-13,1393.00,1397.02,1353.50,1361.50,8240200,1361.50
2016-12-12,1379.50,1419.50,1379.50,1400.50,14890600,1400.50
