Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,464.90,467.75,463.059,464.85,39339200,464.85
2017-03-01,458.95,472.60,455.55,464.60,51245500,464.60
2017-02-28,454.00,455.645,450.00,453.55,47559200,453.55
2017-02-27,450.00,453.65,447.787,451.50,31786300,451.50
2017-02-24,449.95,451.275,443.40,447.10,29570600,447.10
2017-02-23,448.85,453.40,447.83,450.40,35098800,450.40
2017-02-22,452.00,454.00,445.50,447.70,33452200,447.70
2017-02-21,447.25,456.70,445.20,450.80,45845300,450.80
2017-02-20,447.30,449.95,444.70,445.20,26702100,445.20
2017-02-17,449.05,449.35,440.80,446.00,32799100,446.00
2017-02-16,451.80,454.55,448.35,448.40,28226100,448.40
2017-02-15,463.65,463.65,457.55,457.55,26671900,447.55
2017-02-14,460.35,462.85,458.45,459.50,25636300,449.457
2017-02-13,461.65,462.50,454.773,459.60,23024900,449.555
2017-02-10,460.00,464.00,456.25,459.60,49022900,449.555
2017-02-09,460.00,463.35,455.172,458.70,36555200,448.675
2017-02-08,458.45,459.50,450.95,455.95,43741700,445.985
2017-02-07,464.00,468.25,456.25,457.10,56714500,447.11
2017-02-06,479.05,482.95,475.65,476.55,25355100,466.135
2017-02-03,474.80,480.45,473.15,478.60,26158900,468.14
2017-02-02,472.15,476.20,470.543,472.70,30916700,462.369
2017-02-01,477.55,479.00,471.40,472.90,27816000,462.565
2017-01-31,476.05,480.45,472.80,472.85,39307300,462.516
2017-01-30,482.70,483.85,474.70,476.05,27283800,465.646
2017-01-27,487.80,488.15,481.35,486.80,22529900,476.161
2017-01-26,489.65,490.50,485.25,485.40,27240800,474.791
2017-01-25,490.70,494.10,487.85,488.05,21598400,477.383
2017-01-24,488.65,493.718,484.81,489.70,25028000,478.997
2017-01-23,494.05,498.35,485.05,487.15,28404300,476.503
2017-01-20,499.75,503.90,497.153,498.35,27490400,487.458
2017-01-19,504.60,505.075,480.00,499.15,28425300,488.241
2017-01-18,503.10,506.90,501.10,505.10,27657000,494.061
2017-01-17,511.10,512.60,502.00,502.00,32334800,491.029
2017-01-16,517.30,517.70,512.10,512.60,19326400,501.397
2017-01-13,515.80,521.20,515.00,518.00,28300900,506.679
2017-01-12,512.00,516.90,508.029,515.40,23620000,504.136
2017-01-11,508.30,515.50,506.60,513.30,19913900,502.082
2017-01-10,510.50,512.30,508.50,511.70,24385800,500.517
2017-01-09,514.50,516.90,505.131,513.50,22575900,502.277
2017-01-06,517.40,517.70,513.20,514.50,17355500,503.255
2017-01-05,516.50,520.165,512.70,517.30,24830000,505.994
2017-01-04,517.80,519.342,515.20,519.30,51985700,507.95
2017-01-03,511.00,520.10,510.20,517.30,30062700,505.994
2017-01-02,509.60,509.60,509.60,509.60,000,498.462
2016-12-30,507.90,510.20,504.90,509.60,15875200,498.462
2016-12-29,507.80,513.24,506.80,511.20,14268600,500.027
2016-12-28,505.00,510.40,500.70,508.90,22661400,497.778
2016-12-27,503.00,503.00,503.00,503.00,000,492.007
2016-12-26,503.00,503.00,503.00,503.00,000,492.007
2016-12-23,502.70,504.115,502.00,503.00,7576700,492.007
2016-12-22,498.00,503.00,497.25,503.00,24932400,492.007
2016-12-21,495.30,499.65,489.30,496.75,22392800,485.893
2016-12-20,490.30,496.00,487.55,495.10,21470500,484.279
2016-12-19,490.00,494.50,489.20,490.80,27542600,480.073
2016-12-16,481.75,489.798,479.50,489.70,55713000,478.997
2016-12-15,479.00,481.70,470.00,479.50,37885900,469.02
2016-12-14,482.05,483.70,479.00,481.00,31189500,470.487
2016-12-13,480.00,484.80,477.536,482.70,34172500,472.15
2016-12-12,481.55,487.90,479.55,483.40,43889600,472.835
2016-12-09,478.50,479.015,474.35,476.20,25046200,465.792
2016-12-08,472.00,477.70,470.10,477.00,24162900,466.575
2016-12-07,469.00,474.95,464.00,473.45,31261400,463.103
2016-12-06,463.00,467.40,458.95,463.55,35309700,453.419
