Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,328.00,338.25,327.20,334.60,31505900,334.60
2017-03-01,327.40,330.30,323.35,328.45,20727000,328.45
2017-02-28,328.00,329.65,326.50,327.10,32681000,327.10
2017-02-27,333.05,334.35,330.03,330.80,20297000,330.80
2017-02-24,331.20,336.30,330.80,332.90,29376100,332.90
2017-02-23,327.00,334.00,326.80,331.20,40869400,331.20
2017-02-22,319.75,327.25,319.623,327.25,25200500,327.25
2017-02-21,323.90,324.80,320.30,320.80,21514000,320.80
2017-02-20,322.50,324.03,320.055,323.30,25405900,323.30
2017-02-17,312.50,316.70,310.125,316.10,24271700,316.10
2017-02-16,310.10,313.621,309.70,312.50,17751900,312.50
2017-02-15,307.95,311.30,306.65,309.70,19463400,309.70
2017-02-14,305.35,306.10,303.685,305.75,24402700,305.75
2017-02-13,306.40,308.40,304.70,304.70,17846900,304.70
2017-02-10,309.05,310.81,305.45,306.25,20868100,306.25
2017-02-09,309.60,311.60,307.70,308.30,21600300,308.30
2017-02-08,308.75,311.567,304.60,311.20,21901100,311.20
2017-02-07,306.25,310.60,306.25,308.55,19449500,308.55
2017-02-06,307.50,311.44,305.80,306.85,21923500,306.85
2017-02-03,306.75,308.30,303.95,307.45,20244300,307.45
2017-02-02,304.40,307.84,302.65,305.20,21647700,305.20
2017-02-01,308.60,316.58,304.10,305.60,46532800,305.60
2017-01-31,305.10,310.75,302.90,303.85,46058600,303.85
2017-01-30,304.00,305.80,301.16,305.50,34021600,305.50
2017-01-27,306.20,309.95,298.55,302.80,49123500,302.80
2017-01-26,301.50,306.20,300.45,302.10,49045000,302.10
2017-01-25,303.45,314.605,297.80,302.35,90610400,302.35
2017-01-24,325.00,330.00,301.40,303.00,214275000,303.00
2017-01-23,383.95,384.42,380.40,382.55,29047000,382.55
2017-01-20,380.00,387.35,380.00,387.15,17947100,387.15
2017-01-19,381.05,382.35,375.50,378.05,18010100,378.05
2017-01-18,386.00,386.00,379.205,380.55,19083100,380.55
2017-01-17,386.50,387.879,382.65,383.40,14856900,383.40
2017-01-16,391.55,391.55,387.80,388.60,17387600,388.60
2017-01-13,392.95,393.474,389.85,391.75,22586400,391.75
2017-01-12,395.00,398.794,390.95,392.00,24210500,392.00
2017-01-11,397.00,400.70,393.30,396.85,29094200,396.85
2017-01-10,384.50,389.15,383.55,387.70,23103000,387.70
2017-01-09,386.25,386.90,380.85,385.95,13307500,385.95
2017-01-06,385.20,385.25,381.60,384.55,12651600,384.55
2017-01-05,382.60,386.05,375.323,384.40,18310300,384.40
2017-01-04,372.50,380.80,365.55,380.55,22025300,380.55
2017-01-03,371.50,376.45,369.05,371.45,14324000,371.45
2017-01-02,366.90,366.90,366.90,366.90,000,366.90
2016-12-30,372.20,372.90,365.00,366.90,6779900,366.90
2016-12-29,363.00,371.05,362.20,370.95,7010300,370.95
2016-12-28,370.00,370.00,366.40,368.05,8124000,363.20
2016-12-27,370.35,370.35,370.35,370.35,000,365.47
2016-12-26,370.35,370.35,370.35,370.35,000,365.47
2016-12-23,370.60,371.70,368.35,370.35,4158800,365.47
2016-12-22,369.00,371.70,366.60,370.95,12348100,366.062
2016-12-21,369.15,371.40,367.61,371.25,11146000,366.358
2016-12-20,371.55,374.25,366.95,368.15,11618400,363.299
2016-12-19,368.10,376.052,366.45,371.40,15880700,366.506
2016-12-16,363.70,368.75,363.35,367.00,28358300,362.164
2016-12-15,362.00,367.116,359.45,363.55,19031200,358.759
2016-12-14,359.45,365.068,356.05,363.65,18545800,358.858
2016-12-13,345.30,360.45,345.30,359.45,22195800,354.713
2016-12-12,353.35,353.35,343.75,346.70,20775800,342.131
2016-12-09,358.25,359.20,351.50,352.00,17158900,347.361
2016-12-08,360.65,361.238,354.30,357.05,20988300,352.345
2016-12-07,354.10,358.05,351.40,357.30,13880100,352.592
2016-12-06,352.80,354.75,350.00,352.10,13188200,347.46
2016-12-05,354.90,359.90,351.55,352.15,13754300,347.51
2016-12-02,351.20,360.05,349.50,358.60,15169500,353.875
2016-12-01,355.00,356.45,349.50,353.20,18485100,348.546
2016-11-30,355.70,363.05,354.75,357.10,46269400,352.394
2016-11-29,350.30,358.70,343.65,354.35,33828000,349.681
2016-11-28,358.30,359.25,348.75,350.30,13900800,345.684
2016-11-25,358.55,359.70,355.15,358.85,9102200,354.121
2016-11-24,361.55,363.15,356.273,358.10,12841900,353.381
2016-11-23,366.45,371.70,359.80,360.50,13953800,355.749
2016-11-22,363.80,366.95,361.35,366.45,9178700,361.621
2016-11-21,363.65,365.124,358.10,361.55,22749700,356.786
2016-11-18,375.25,375.25,362.90,362.90,23544700,358.118
2016-11-17,363.05,374.90,362.40,373.40,18436200,368.479
2016-11-16,365.15,370.20,361.20,362.15,25949400,357.378
2016-11-15,360.50,367.55,359.95,363.70,24108800,358.907
2016-11-14,362.70,365.10,357.20,357.65,23390800,352.937
2016-11-11,349.75,361.414,349.05,361.00,36384700,356.243
2016-11-10,365.85,366.00,342.15,347.85,36179700,343.266
2016-11-09,355.00,362.80,353.18,362.80,16904900,358.019
