Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,4443.00,4480.00,4433.00,4453.00,618100,4453.00
2017-03-01,4410.00,4456.00,4399.00,4454.00,458500,4454.00
2017-02-28,4380.00,4406.00,4361.00,4399.00,708800,4399.00
2017-02-27,4379.00,4387.00,4340.00,4359.00,785500,4359.00
2017-02-24,4351.00,4377.90,4319.00,4346.00,596300,4346.00
2017-02-23,4286.00,4462.00,4241.00,4358.00,1338200,4358.00
2017-02-22,4304.00,4327.00,4260.00,4285.00,960400,4250.00
2017-02-21,4369.00,4375.00,4295.00,4300.00,369100,4264.877
2017-02-20,4317.00,4355.00,4309.00,4340.00,349700,4304.551
2017-02-17,4325.00,4341.00,4296.00,4303.00,753300,4267.853
2017-02-16,4351.00,4362.00,4307.00,4326.00,622100,4290.665
2017-02-15,4373.00,4392.00,4316.00,4354.00,715200,4318.436
2017-02-14,4350.00,4381.00,4328.00,4371.00,1071900,4335.297
2017-02-13,4322.00,4389.00,4322.00,4353.00,567300,4317.445
2017-02-10,4330.00,4356.00,4265.59,4336.00,2538600,4300.583
2017-02-09,4307.00,4315.61,4260.00,4298.00,549100,4262.894
2017-02-08,4283.00,4362.53,4283.00,4308.00,650600,4272.812
2017-02-07,4325.00,4365.00,4302.00,4302.00,643100,4266.861
2017-02-06,4279.00,4318.00,4261.00,4311.00,328000,4275.788
2017-02-03,4281.00,4310.65,4277.00,4288.00,693100,4252.975
2017-02-02,4238.00,4280.00,4214.00,4268.00,515200,4233.139
2017-02-01,4275.00,4284.00,4208.00,4243.00,658300,4208.343
2017-01-31,4318.00,4335.00,4231.00,4238.00,931200,4203.384
2017-01-30,4317.00,4338.00,4302.00,4324.00,1490000,4288.681
2017-01-27,4375.00,4407.91,4312.00,4340.00,623300,4304.551
2017-01-26,4248.00,4411.00,4195.00,4340.00,1178900,4304.551
2017-01-25,4174.00,4239.00,4147.06,4233.00,655600,4198.425
2017-01-24,4131.00,4191.00,4129.00,4175.00,592900,4140.898
