Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,1497.00,1511.00,1489.00,1511.00,3039600,1511.00
2017-03-01,1502.00,1503.00,1482.00,1494.00,3594900,1494.00
2017-02-28,1477.00,1502.00,1477.00,1498.00,4267800,1498.00
2017-02-27,1477.00,1481.00,1470.00,1477.00,2249600,1477.00
2017-02-24,1463.00,1480.00,1463.00,1467.00,3019400,1467.00
2017-02-23,1470.00,1480.00,1462.00,1463.00,2632400,1463.00
2017-02-22,1464.00,1471.00,1458.00,1468.00,3302800,1468.00
2017-02-21,1476.00,1482.00,1464.00,1467.00,2781900,1467.00
2017-02-20,1474.00,1478.05,1464.00,1475.00,3343200,1475.00
2017-02-17,1447.00,1485.00,1446.00,1473.00,5184200,1473.00
2017-02-16,1435.00,1451.00,1431.20,1448.00,3159300,1448.00
2017-02-15,1428.00,1436.00,1420.00,1432.00,3461100,1432.00
2017-02-14,1445.00,1446.00,1426.00,1427.00,3747400,1427.00
2017-02-13,1442.00,1452.00,1436.00,1446.00,1772000,1446.00
2017-02-10,1448.00,1451.00,1426.00,1445.00,2230100,1445.00
2017-02-09,1449.00,1451.00,1431.00,1441.00,3031800,1441.00
2017-02-08,1436.00,1452.00,1428.00,1450.00,2648600,1450.00
2017-02-07,1426.00,1449.00,1425.00,1438.00,3663100,1438.00
2017-02-06,1441.00,1443.00,1429.00,1429.00,2595000,1429.00
2017-02-03,1440.00,1448.00,1433.00,1444.00,3984200,1444.00
2017-02-02,1404.00,1456.00,1400.00,1439.00,5165100,1439.00
2017-02-01,1421.00,1429.00,1397.00,1397.00,5098700,1397.00
2017-01-31,1407.00,1422.00,1398.00,1412.00,4222600,1412.00
2017-01-30,1408.00,1411.00,1398.00,1407.00,4608700,1407.00
2017-01-27,1401.00,1417.43,1378.24,1417.00,2763000,1417.00
2017-01-26,1406.00,1406.00,1370.00,1392.00,6387100,1392.00
2017-01-25,1415.00,1421.00,1402.00,1402.00,2325600,1402.00
2017-01-24,1408.00,1414.00,1400.00,1412.00,3742000,1412.00
2017-01-23,1399.00,1411.00,1397.00,1406.00,3222000,1406.00
2017-01-20,1417.00,1423.00,1408.00,1408.00,5681100,1408.00
2017-01-19,1431.00,1432.00,1410.00,1416.00,3637100,1416.00
2017-01-18,1432.00,1453.00,1431.00,1449.00,4012600,1427.90
2017-01-17,1459.00,1461.10,1424.57,1425.00,3771300,1404.249
2017-01-16,1465.00,1477.00,1461.00,1465.00,2288100,1443.667
2017-01-13,1470.00,1474.00,1445.90,1460.00,3438500,1438.74
2017-01-12,1455.00,1467.00,1448.00,1466.00,3346100,1444.652
2017-01-11,1464.00,1470.00,1456.00,1458.00,2815900,1436.769
2017-01-10,1462.00,1470.00,1450.00,1464.00,3021900,1442.682
2017-01-09,1461.00,1468.00,1448.19,1456.00,4992700,1434.798
2017-01-06,1465.00,1469.00,1444.00,1458.00,3563300,1436.769
2017-01-05,1475.00,1475.00,1452.00,1461.00,3638800,1439.725
2017-01-04,1486.00,1487.00,1466.00,1473.00,4161800,1451.551
2017-01-03,1510.00,1523.00,1471.00,1476.00,7269200,1454.507
2017-01-02,1501.00,1501.00,1501.00,1501.00,000,1479.143
2016-12-30,1483.00,1502.00,1479.00,1501.00,2398400,1479.143
2016-12-29,1469.00,1486.71,1466.00,1480.00,1881300,1458.449
2016-12-28,1470.00,1474.00,1458.00,1470.00,2575100,1448.594
2016-12-27,1456.00,1456.00,1456.00,1456.00,000,1434.798
2016-12-26,1456.00,1456.00,1456.00,1456.00,000,1434.798
2016-12-23,1456.00,1468.00,1454.00,1456.00,1257300,1434.798
2016-12-22,1446.00,1460.00,1443.00,1457.00,3163000,1435.783
2016-12-21,1435.00,1450.00,1431.00,1444.00,4307600,1422.973
2016-12-20,1435.00,1438.00,1427.00,1435.00,3441200,1414.104
2016-12-19,1422.00,1438.00,1417.00,1431.00,3349300,1410.162
2016-12-16,1411.00,1417.00,1402.00,1415.00,6353400,1394.395
2016-12-15,1379.00,1414.00,1373.00,1410.00,4662800,1389.468
