Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,347.80,348.50,344.60,346.40,4575400,346.40
2017-03-01,344.70,349.70,341.90,349.70,8472900,349.70
2017-02-28,339.70,343.80,334.90,343.50,8649200,343.50
2017-02-27,338.80,347.20,328.40,338.50,18604400,338.50
2017-02-24,363.10,367.00,361.40,364.60,3854300,364.60
2017-02-23,356.30,362.90,355.80,362.90,3976700,362.90
2017-02-22,359.80,360.40,354.00,356.10,4209100,356.10
2017-02-21,362.90,363.80,358.468,358.50,3102600,358.50
2017-02-20,360.00,371.50,360.00,361.90,5155800,361.90
2017-02-17,356.50,358.20,352.10,353.90,4567700,353.90
2017-02-16,357.40,359.60,355.333,357.00,3007100,357.00
2017-02-15,359.30,360.70,355.30,357.00,4259500,357.00
2017-02-14,359.00,362.40,357.60,359.20,7186500,359.20
2017-02-13,366.80,366.80,356.90,360.70,5589900,360.70
2017-02-10,363.50,371.20,363.50,368.00,5064900,368.00
2017-02-09,361.20,363.70,360.10,363.20,2681800,363.20
2017-02-08,359.50,361.87,358.60,360.80,3420600,360.80
2017-02-07,353.80,361.20,352.70,360.00,5239400,360.00
2017-02-06,356.60,357.90,351.164,353.10,2223900,353.10
2017-02-03,352.70,358.20,352.60,356.40,6942500,356.40
2017-02-02,352.80,357.60,351.619,353.00,3956200,353.00
2017-02-01,357.20,358.30,353.10,353.90,3562400,353.90
2017-01-31,355.40,359.60,353.30,355.00,5739700,355.00
2017-01-30,352.30,358.80,350.10,355.30,10864800,355.30
2017-01-27,354.80,354.90,350.30,354.90,3032100,354.90
2017-01-26,353.30,354.60,349.80,352.60,3774300,352.60
2017-01-25,348.50,354.10,347.00,352.60,4236200,352.60
2017-01-24,345.60,346.90,341.70,346.20,3935100,346.20
2017-01-23,343.50,346.20,341.70,344.90,5012800,344.90
2017-01-20,348.00,349.70,344.10,345.30,3359600,345.30
2017-01-19,348.70,350.20,345.60,347.20,4502100,347.20
2017-01-18,348.20,353.40,346.30,348.90,4769200,348.90
2017-01-17,348.20,349.50,344.866,347.00,5071900,347.00
2017-01-16,348.80,352.20,347.00,350.00,3464800,350.00
2017-01-13,348.60,351.72,346.00,348.60,5469800,348.60
2017-01-12,348.20,349.90,343.70,346.70,7443200,346.70
2017-01-11,355.00,357.00,349.48,352.20,4995800,352.20
2017-01-10,367.00,367.70,356.168,357.00,6272400,357.00
2017-01-09,364.90,369.40,362.593,368.00,2261200,368.00
2017-01-06,366.60,368.50,364.70,364.70,3024500,364.70
2017-01-05,372.90,373.20,364.20,366.00,5223400,366.00
2017-01-04,374.50,374.50,372.00,373.00,3374900,373.00
2017-01-03,370.70,378.30,370.70,372.90,4339100,372.90
2017-01-02,369.40,369.40,369.40,369.40,000,369.40
2016-12-30,368.50,370.30,365.90,369.40,1706100,369.40
2016-12-29,360.40,367.20,360.00,367.20,1999700,367.20
2016-12-28,367.40,367.40,359.00,362.50,3002000,362.50
2016-12-27,367.80,367.80,367.80,367.80,000,367.80
2016-12-26,367.80,367.80,367.80,367.80,000,367.80
2016-12-23,365.40,368.30,363.60,367.80,1379100,367.80
2016-12-22,359.90,364.40,358.70,363.60,2332200,363.60
2016-12-21,356.80,361.60,356.20,359.60,5234500,359.60
2016-12-20,357.80,361.80,356.10,358.20,3542000,358.20
2016-12-19,357.30,357.70,354.10,357.30,4640300,357.30
2016-12-16,355.60,359.20,354.30,356.40,5055000,356.40
2016-12-15,348.40,357.10,348.40,355.80,4582100,355.80
