Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,142.20,144.40,139.90,141.20,11748600,137.58
2017-03-01,143.40,144.60,131.70,143.50,22634800,139.821
2017-02-28,146.10,146.90,144.70,146.40,4120500,142.647
2017-02-27,145.40,145.50,144.20,145.10,4674200,141.38
2017-02-24,145.60,147.50,144.20,144.80,6095200,141.088
2017-02-23,144.20,146.10,143.50,145.80,6159700,142.062
2017-02-22,144.60,144.70,143.50,144.20,4456900,140.503
2017-02-21,143.40,144.30,143.09,144.00,3941300,140.308
2017-02-20,142.90,144.10,142.10,143.50,3677800,139.821
2017-02-17,141.00,141.811,139.90,141.80,4030200,138.165
2017-02-16,139.50,142.749,139.50,141.00,5503600,137.385
2017-02-15,138.70,140.80,138.70,140.00,4881700,136.411
2017-02-14,138.20,139.00,137.30,138.90,4841000,135.339
2017-02-13,137.20,139.50,136.69,139.00,4747300,135.436
2017-02-10,138.20,138.50,136.50,137.20,6959800,133.683
2017-02-09,138.00,139.70,137.60,138.30,4566600,134.754
2017-02-08,137.60,139.30,136.80,137.40,5592800,133.877
2017-02-07,136.00,137.70,135.972,137.00,4843100,133.488
2017-02-06,138.80,139.80,135.80,136.20,5992900,132.708
2017-02-03,137.30,139.50,135.90,138.40,8936800,134.852
2017-02-02,137.10,137.10,135.00,136.60,9524600,133.098
2017-02-01,134.70,137.50,134.40,137.00,12979200,133.488
2017-01-31,132.00,133.70,131.80,133.00,7672900,129.59
2017-01-30,132.10,132.60,131.60,132.20,3735400,128.811
2017-01-27,133.10,133.60,132.00,132.70,4291200,129.298
2017-01-26,132.30,134.10,132.20,133.30,8896400,129.883
2017-01-25,127.60,133.436,127.40,132.70,12386600,129.298
2017-01-24,125.70,127.30,124.70,126.40,6864700,123.159
2017-01-23,124.70,125.60,123.464,125.40,6467700,122.185
2017-01-20,125.30,127.10,124.50,125.20,5696900,121.99
2017-01-19,124.10,126.10,123.30,125.10,5635300,121.893
2017-01-18,124.00,125.30,123.30,124.60,6132500,121.406
2017-01-17,125.00,125.60,123.50,124.30,6038700,121.113
2017-01-16,126.50,126.632,124.846,125.90,6123200,122.672
2017-01-13,125.90,127.40,125.40,126.70,12186400,123.452
2017-01-12,122.70,125.40,122.70,124.80,8556600,121.60
2017-01-11,121.20,123.50,120.30,123.30,5960400,120.139
2017-01-10,122.50,122.50,120.60,121.10,8610500,117.995
2017-01-09,125.00,125.00,122.40,122.60,7230000,119.457
2017-01-06,125.80,126.70,123.20,124.20,4682500,121.016
2017-01-05,124.90,126.70,124.70,126.00,6347800,122.77
2017-01-04,121.40,125.238,121.40,124.00,8596700,120.821
2017-01-03,118.20,121.00,118.20,121.00,9554400,117.898
2017-01-02,118.30,118.30,118.30,118.30,000,115.267
2016-12-30,118.90,119.026,117.60,118.30,1890600,115.267
2016-12-29,120.10,120.70,118.10,118.70,4633400,115.657
2016-12-28,120.70,120.70,119.30,120.30,2776900,117.216
2016-12-27,120.60,120.60,120.60,120.60,000,117.508
2016-12-26,120.60,120.60,120.60,120.60,000,117.508
2016-12-23,120.40,122.10,120.272,120.60,1057300,117.508
2016-12-22,120.90,122.00,120.40,121.00,2579200,117.898
2016-12-21,120.90,121.803,120.30,121.00,4090300,117.898
2016-12-20,120.10,121.30,119.50,120.90,3319200,117.80
2016-12-19,122.00,122.50,119.90,120.10,2861200,117.021
2016-12-16,119.80,121.70,119.50,121.00,5584000,117.898
2016-12-15,118.00,120.70,117.40,120.30,7619400,117.216
2016-12-14,118.90,119.00,117.30,118.30,8854100,115.267
2016-12-13,117.00,118.915,115.00,118.70,8966000,115.657
2016-12-12,114.90,117.50,113.70,116.50,6781500,113.513
2016-12-09,114.60,115.14,113.70,114.50,3848300,111.565
2016-12-08,114.70,115.20,113.30,114.30,5712400,111.37
2016-12-07,113.50,114.40,112.70,114.40,11042500,111.467
2016-12-06,112.50,112.803,111.90,112.80,7571300,109.908
2016-12-05,113.90,114.40,112.20,112.70,13970700,109.811
2016-12-02,114.00,115.00,112.60,114.30,4047000,111.37
2016-12-01,113.40,115.70,112.60,115.40,7767400,112.441
2016-11-30,116.40,116.90,113.40,113.40,10605200,110.493
2016-11-29,117.10,118.223,116.10,117.00,5707500,114.00
2016-11-28,120.60,121.80,117.30,118.10,9328000,115.072
2016-11-25,123.80,124.40,122.30,123.80,4373300,120.626
2016-11-24,124.00,124.80,122.50,122.80,2753200,119.652
2016-11-23,125.40,125.80,123.60,124.10,3048000,120.918
2016-11-22,124.40,126.00,124.20,124.80,2754400,121.60
2016-11-21,126.30,126.30,123.00,123.40,3727100,120.236
2016-11-18,122.80,125.70,122.70,125.40,5558200,122.185
2016-11-17,125.50,125.90,122.70,123.10,4814500,119.944
2016-11-16,128.40,128.868,124.90,125.30,3359500,122.088
2016-11-15,128.20,130.10,127.00,127.90,5721900,124.621
2016-11-14,124.60,127.30,123.80,127.10,5439700,123.841
2016-11-11,126.10,126.30,122.00,123.00,6382700,119.847
2016-11-10,125.00,130.466,124.40,126.30,10952300,123.062
