Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,209.60,213.10,204.282,204.30,23208000,199.50
2017-03-01,205.00,214.00,201.00,211.70,35945800,206.726
2017-02-28,202.50,204.96,200.60,202.50,21227500,197.742
2017-02-27,202.50,202.70,199.932,201.60,18578800,196.863
2017-02-24,203.20,203.70,201.20,202.10,8151000,197.352
2017-02-23,202.10,204.66,201.20,203.20,8831600,198.426
2017-02-22,204.20,204.80,200.00,202.10,19615500,197.352
2017-02-21,203.60,205.107,201.60,203.30,15339900,198.524
2017-02-20,207.00,207.00,201.70,203.10,13140900,198.328
2017-02-17,207.90,208.60,204.00,205.50,20772300,200.672
2017-02-16,209.50,212.55,208.10,208.10,12398000,203.211
2017-02-15,210.10,211.40,208.90,209.30,15990100,204.383
2017-02-14,208.10,211.20,207.20,209.40,11215700,204.48
2017-02-13,209.40,210.60,208.74,208.80,7883300,203.894
2017-02-10,210.00,211.70,208.40,209.00,11244100,204.09
2017-02-09,206.20,210.00,205.80,209.60,13502800,204.675
2017-02-08,203.50,206.80,202.35,206.10,12855400,201.258
2017-02-07,202.40,205.407,201.10,203.50,15925300,198.719
2017-02-06,205.70,206.50,202.10,202.80,13088500,198.035
2017-02-03,204.10,207.90,203.20,205.50,22729400,200.672
2017-02-02,202.40,203.028,200.70,201.50,13583800,196.766
2017-02-01,204.40,204.40,201.22,202.30,16127300,197.547
2017-01-31,206.00,206.999,203.20,203.20,16995400,198.426
2017-01-30,207.40,208.60,202.10,206.00,11483400,201.16
2017-01-27,206.60,206.60,201.70,204.70,22878400,199.891
2017-01-26,206.00,207.20,204.40,205.00,15098700,200.184
2017-01-25,210.90,212.671,204.60,204.60,24299500,199.793
2017-01-24,202.50,216.90,197.51,209.30,57084800,204.383
2017-01-23,201.00,203.60,199.82,201.30,9036600,196.57
2017-01-20,204.50,204.888,201.50,201.50,10073500,196.766
2017-01-19,198.90,203.60,197.80,203.50,14911700,198.719
2017-01-18,204.40,204.40,200.871,202.60,12307600,197.84
2017-01-17,204.40,207.30,201.90,203.30,19365600,198.524
2017-01-16,209.10,209.60,203.964,204.20,16715300,199.402
2017-01-13,205.20,209.90,205.20,208.60,22589500,203.699
2017-01-12,206.50,206.70,200.40,203.00,14786600,198.231
