Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,329.10,332.90,325.30,332.50,11769700,332.50
2017-03-01,330.40,331.60,326.60,331.60,15476600,331.60
2017-02-28,324.00,330.20,323.00,329.20,11243300,329.20
2017-02-27,326.00,326.00,323.70,324.20,9560600,324.20
2017-02-24,321.10,325.30,321.10,323.80,7377600,323.80
2017-02-23,326.40,326.48,316.03,321.50,12563200,321.50
2017-02-22,326.00,327.70,323.60,326.40,8243600,326.40
2017-02-21,327.70,330.00,325.50,326.50,5116300,326.50
2017-02-20,328.20,328.70,325.30,326.50,5285500,326.50
2017-02-17,328.50,330.80,325.30,327.10,7555500,327.10
2017-02-16,328.10,330.50,326.965,328.70,3943700,328.70
2017-02-15,331.10,331.80,327.50,329.00,6772100,329.00
2017-02-14,329.80,332.10,328.90,330.60,5259200,330.60
2017-02-13,328.60,330.70,328.50,329.30,8452500,329.30
2017-02-10,330.00,331.70,327.964,328.50,9201000,328.50
2017-02-09,332.40,334.00,328.00,328.00,9907200,328.00
2017-02-08,332.30,335.50,331.60,332.80,11378100,332.80
2017-02-07,334.80,335.20,328.60,333.10,9123900,333.10
2017-02-06,337.30,337.90,334.20,334.90,4232000,334.90
2017-02-03,336.20,339.20,334.80,338.70,5505100,338.70
2017-02-02,334.00,337.00,332.90,335.40,6391700,335.40
2017-02-01,339.20,339.30,333.50,334.40,6856500,334.40
2017-01-31,335.10,339.00,335.00,336.20,10179300,336.20
2017-01-30,329.80,336.00,329.00,335.50,5915100,335.50
2017-01-27,331.00,334.00,329.80,332.50,5745800,332.50
2017-01-26,330.70,330.80,328.70,329.90,7896400,329.90
2017-01-25,331.30,333.10,327.70,330.40,14020000,330.40
2017-01-24,342.80,343.70,336.30,338.80,8846600,338.80
2017-01-23,343.20,344.987,340.20,341.30,5345300,341.30
2017-01-20,350.00,350.50,343.60,343.60,6590400,343.60
2017-01-19,347.00,350.90,346.90,350.00,6708600,350.00
2017-01-18,347.10,349.40,344.50,347.00,6530700,347.00
2017-01-17,347.10,349.00,343.30,346.30,6419900,346.30
2017-01-16,352.90,353.464,347.80,348.20,6382000,348.20
2017-01-13,346.00,355.10,345.90,353.00,8524400,353.00
2017-01-12,343.70,346.80,340.80,344.20,7497100,344.20
2017-01-11,344.80,347.621,343.70,343.70,7309900,343.70
2017-01-10,347.20,349.20,344.40,345.20,10556800,345.20
2017-01-09,345.20,347.60,344.20,347.40,4244200,347.40
2017-01-06,342.50,344.60,340.90,344.60,4957500,344.60
2017-01-05,340.10,343.80,339.30,343.30,6943800,343.30
2017-01-04,342.80,343.99,337.20,340.40,9841100,340.40
2017-01-03,351.00,352.40,341.80,342.00,7085600,342.00
2017-01-02,350.30,350.30,350.30,350.30,000,350.30
2016-12-30,345.80,350.30,345.30,350.30,3121300,350.30
2016-12-29,345.90,348.90,345.30,347.30,2230200,347.30
2016-12-28,345.80,349.50,343.90,347.50,4493600,347.50
2016-12-27,346.70,346.70,346.70,346.70,000,346.70
2016-12-26,346.70,346.70,346.70,346.70,000,346.70
2016-12-23,349.10,349.50,346.70,346.70,888500,346.70
2016-12-22,346.00,350.50,345.70,349.90,4794500,349.90
2016-12-21,342.30,348.00,341.80,346.80,4927400,346.80
2016-12-20,342.50,344.10,339.701,343.50,5136700,343.50
2016-12-19,342.70,344.60,341.40,342.80,4146400,342.80
2016-12-16,341.50,343.30,337.60,342.90,10218400,342.90
2016-12-15,342.40,344.80,269.60,341.50,7711900,341.50
2016-12-14,344.80,345.20,340.20,342.10,9007800,342.10
2016-12-13,342.90,346.80,341.70,345.70,7905400,345.70
2016-12-12,348.40,348.50,340.70,342.20,7036000,342.20
2016-12-09,346.20,350.70,346.10,347.90,5764200,347.90
2016-12-08,346.40,347.40,344.453,346.70,8369200,346.70
2016-12-07,348.30,349.40,345.80,347.10,7239600,347.10
2016-12-06,348.30,348.40,343.80,346.80,10072600,346.80
2016-12-05,348.50,353.60,348.40,349.50,6459600,349.50
2016-12-02,346.00,350.80,344.40,350.30,8264600,350.30
2016-12-01,350.20,350.20,343.60,347.90,9473900,347.90
2016-11-30,356.10,358.90,353.029,353.10,13294800,353.10
2016-11-29,356.20,357.50,352.50,357.50,7743100,357.50
2016-11-28,355.80,356.50,352.40,356.10,6886200,356.10
2016-11-25,357.20,360.00,356.60,356.90,4444000,356.90
2016-11-24,359.80,360.30,357.30,358.30,7043600,358.30
2016-11-23,358.90,364.30,357.90,360.00,15382900,360.00
2016-11-22,370.00,370.305,354.70,358.00,17873400,358.00
2016-11-21,368.20,371.20,366.10,369.70,14273200,369.70
2016-11-18,369.20,369.90,366.358,368.10,6392600,368.10
2016-11-17,364.80,370.036,361.90,369.10,10795400,369.10
2016-11-16,363.50,365.80,361.70,364.00,8457900,364.00
2016-11-15,363.40,367.80,361.90,363.30,7700600,363.30
2016-11-14,363.40,365.00,358.90,361.70,5571300,361.70
2016-11-11,362.80,363.40,356.00,359.10,10501700,359.10
2016-11-10,365.00,367.90,361.90,363.10,14486000,363.10
2016-11-09,345.00,362.60,345.00,362.60,14064400,362.60
2016-11-08,356.90,362.70,356.90,359.60,5781200,359.60
2016-11-07,362.50,364.90,357.10,357.60,7439800,357.60
2016-11-04,364.60,365.10,358.20,358.70,9041200,358.70
2016-11-03,362.60,370.30,361.60,367.10,14426200,367.10
2016-11-02,363.20,366.90,362.50,362.50,7242800,362.50
