Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,250.80,253.10,250.70,252.00,14342300,252.00
2017-03-01,249.40,252.40,248.70,251.70,17969000,251.70
2017-02-28,248.00,248.70,246.30,248.30,15527900,248.30
2017-02-27,248.40,248.411,246.50,247.10,11426900,247.10
2017-02-24,245.70,248.20,245.30,247.20,17185500,247.20
2017-02-23,245.20,247.45,244.00,246.30,15386000,246.30
2017-02-22,244.90,246.60,243.50,245.20,11060600,245.20
2017-02-21,246.20,247.319,243.90,244.20,8381300,244.20
2017-02-20,244.70,246.80,244.60,245.70,6750400,245.70
2017-02-17,247.10,248.10,242.30,244.00,12834700,244.00
2017-02-16,246.40,247.20,244.30,245.60,11348000,245.60
2017-02-15,245.00,247.90,244.20,246.90,17120600,246.90
2017-02-14,243.50,244.40,241.05,243.90,8623000,243.90
2017-02-13,244.00,244.50,241.80,243.50,9351100,243.50
2017-02-10,242.20,244.497,242.164,243.00,10583000,243.00
2017-02-09,239.60,242.60,238.50,241.80,9882000,241.80
2017-02-08,238.70,240.60,237.074,238.20,10251500,238.20
2017-02-07,236.10,241.40,235.20,239.00,14317300,239.00
2017-02-06,237.50,239.40,235.30,235.70,11911700,235.70
2017-02-03,233.50,238.65,231.60,238.10,14235100,238.10
2017-02-02,234.60,236.046,232.80,232.80,14620600,232.80
2017-02-01,236.20,237.50,233.50,235.60,17513200,235.60
2017-01-31,238.70,239.50,234.40,234.90,23208500,234.90
2017-01-30,242.10,242.42,238.90,239.80,17627600,239.80
2017-01-27,244.40,244.70,242.10,243.80,11284400,243.80
2017-01-26,242.40,245.00,242.10,243.30,13364600,243.30
2017-01-25,238.60,242.50,238.60,241.40,11961000,241.40
2017-01-24,239.50,240.60,236.70,239.70,12025300,239.70
2017-01-23,237.20,239.37,235.30,238.20,8913600,238.20
2017-01-20,241.30,242.20,238.50,238.50,12119500,238.50
2017-01-19,242.30,243.80,239.10,241.00,12844600,241.00
2017-01-18,245.30,245.555,240.80,242.40,14346700,242.40
2017-01-17,245.10,247.149,242.90,244.90,11930000,244.90
2017-01-16,247.90,248.03,244.20,246.00,13542100,246.00
2017-01-13,247.20,249.00,245.293,248.70,9562800,248.70
2017-01-12,246.70,247.10,244.20,246.00,11187100,246.00
2017-01-11,248.20,249.00,244.851,246.60,14826700,246.60
2017-01-10,248.50,249.40,244.60,248.40,17825000,248.40
2017-01-09,249.60,250.40,245.40,248.80,11568800,248.80
2017-01-06,246.60,249.65,245.90,249.60,13498800,249.60
2017-01-05,251.60,252.108,246.10,247.40,14486200,247.40
2017-01-04,249.30,252.20,248.80,252.20,14391200,252.20
2017-01-03,249.00,251.10,248.40,249.00,15077600,249.00
2017-01-02,247.60,247.60,247.60,247.60,000,247.60
2016-12-30,248.50,248.50,245.00,247.60,5937400,247.60
2016-12-29,244.40,248.70,244.40,248.70,6792600,248.70
2016-12-28,247.60,247.60,244.40,246.10,7290700,246.10
2016-12-27,247.00,247.00,247.00,247.00,000,247.00
2016-12-26,247.00,247.00,247.00,247.00,000,247.00
2016-12-23,246.70,248.30,245.20,247.00,5391800,247.00
2016-12-22,243.70,246.60,243.70,246.20,10563500,246.20
2016-12-21,243.80,246.00,242.90,245.50,13225300,245.50
2016-12-20,241.00,244.80,239.50,243.80,14210100,243.80
2016-12-19,244.20,244.529,240.40,240.60,14042300,240.60
2016-12-16,243.40,243.503,239.60,242.70,18658300,242.70
2016-12-15,239.30,243.30,237.50,242.90,21312900,242.90
2016-12-14,239.30,240.70,237.20,238.10,12435300,238.10
2016-12-13,240.10,241.90,238.70,239.90,18769400,239.90
2016-12-12,243.70,243.90,238.80,239.40,12249800,239.40
2016-12-09,246.00,246.00,241.741,243.80,17841700,243.80
2016-12-08,244.30,246.30,240.60,245.40,24998400,245.40
2016-12-07,239.00,245.30,238.90,244.40,32049100,244.40
2016-12-06,238.00,241.59,233.00,237.00,30094800,237.00
2016-12-05,241.00,247.664,240.469,241.70,21802000,241.70
2016-12-02,240.80,243.85,239.50,242.50,17624600,242.50
2016-12-01,239.10,242.30,236.315,242.30,24142000,242.30
2016-11-30,237.80,239.093,235.20,235.80,23022800,235.80
2016-11-29,237.30,238.90,235.30,238.90,12464300,238.90
2016-11-28,237.00,238.50,234.20,236.90,13822300,236.90
2016-11-25,237.40,238.10,236.20,237.90,11683100,237.90
2016-11-24,236.10,237.001,234.50,236.80,9850900,236.80
2016-11-23,235.20,237.60,232.90,234.70,15408500,234.70
2016-11-22,231.80,235.50,230.10,235.00,19319100,235.00
2016-11-21,231.80,233.80,228.30,229.90,11860800,229.90
2016-11-18,235.30,236.20,230.80,232.70,12517600,232.70
2016-11-17,231.60,235.136,230.00,233.50,14506700,233.50
2016-11-16,235.90,236.30,230.90,232.10,17678000,232.10
2016-11-15,235.20,235.70,231.50,235.20,21598200,235.20
2016-11-14,231.60,239.484,231.128,234.70,29771300,234.70
2016-11-11,231.60,235.70,228.266,229.90,25099600,229.90
2016-11-10,224.50,233.90,224.50,232.80,49892200,232.80
2016-11-09,206.10,221.90,204.08,221.70,39325800,221.70
2016-11-08,212.00,214.40,208.43,212.90,17842000,212.90
2016-11-07,211.00,213.30,208.28,212.80,19138600,212.80
2016-11-04,212.30,212.337,207.20,207.70,20029100,207.70
