Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,68.53,69.507,68.37,68.91,239742600,68.91
2017-03-01,69.00,69.41,68.42,68.84,267465600,68.84
2017-02-28,69.45,69.61,68.437,68.67,210406700,68.67
2017-02-27,69.58,70.193,68.95,69.20,165096300,69.20
2017-02-24,69.81,70.059,68.31,69.28,189023400,69.28
2017-02-23,69.85,71.05,69.43,69.55,235507800,69.55
2017-02-22,69.05,70.02,68.24,69.70,511975000,69.70
2017-02-21,66.90,67.63,66.54,66.77,232158400,66.77
2017-02-20,66.88,67.73,66.88,67.35,137256900,67.35
2017-02-17,67.47,67.593,66.29,66.86,160091100,66.86
2017-02-16,67.50,67.81,67.08,67.25,161150700,67.25
2017-02-15,66.75,67.92,66.51,67.47,162271700,67.47
2017-02-14,65.97,66.68,65.76,66.49,126997300,66.49
2017-02-13,65.67,66.13,65.31,65.85,101755700,65.85
2017-02-10,66.55,66.61,65.45,65.64,204865700,65.64
2017-02-09,65.78,66.28,65.06,66.14,140079500,66.14
2017-02-08,66.09,66.20,64.93,65.58,185830900,65.58
2017-02-07,65.99,66.77,65.68,66.13,132980200,66.13
2017-02-06,66.32,66.71,66.02,66.06,117547100,66.06
2017-02-03,65.00,66.14,64.724,65.85,160854100,65.85
2017-02-02,65.16,65.56,64.55,64.89,137384800,64.89
2017-02-01,65.65,66.19,65.40,65.42,160896000,65.42
2017-01-31,65.02,65.94,64.86,64.93,152232300,64.93
2017-01-30,65.48,65.74,64.83,64.91,153568500,64.91
2017-01-27,66.05,66.50,65.10,65.87,124454800,65.87
2017-01-26,65.90,66.99,65.731,66.17,181340000,66.17
2017-01-25,64.82,65.75,64.276,65.54,156312900,65.54
2017-01-24,64.82,65.24,64.00,64.20,135566200,64.20
2017-01-23,64.60,65.216,63.89,64.40,148235500,64.40
2017-01-20,65.16,65.53,64.57,65.07,169862600,65.07
2017-01-19,65.01,65.56,64.25,64.74,143368200,64.74
2017-01-18,66.10,66.22,64.353,65.19,165490100,65.19
2017-01-17,64.36,66.23,63.83,65.45,206820800,65.45
2017-01-16,65.65,67.06,64.47,64.69,138991000,64.69
2017-01-13,66.31,67.06,65.84,66.04,152550600,66.04
2017-01-12,65.98,67.25,65.972,66.03,191814100,66.03
2017-01-11,66.87,67.12,66.147,66.34,178089900,66.34
2017-01-10,64.92,66.80,64.27,66.58,227609500,66.58
2017-01-09,65.80,66.40,64.69,65.22,186782400,65.22
2017-01-06,65.47,66.39,65.23,65.90,209162600,65.90
2017-01-05,64.58,64.93,64.209,64.65,134256000,64.65
2017-01-04,65.01,65.23,64.37,64.77,149207400,64.77
2017-01-03,62.62,65.00,62.62,64.62,199032600,64.62
2017-01-02,62.51,62.51,62.51,62.51,000,62.51
2016-12-30,62.87,62.96,62.084,62.51,66003700,62.51
2016-12-29,63.07,63.33,62.50,62.78,97643300,62.78
2016-12-28,63.49,63.74,63.10,63.55,90475600,63.55
2016-12-27,63.80,63.80,63.80,63.80,000,63.80
2016-12-26,63.80,63.80,63.80,63.80,000,63.80
2016-12-23,63.94,64.07,63.65,63.80,29315500,63.80
2016-12-22,63.83,64.26,63.64,64.00,92060300,64.00
2016-12-21,63.93,64.54,63.57,64.28,127310400,64.28
2016-12-20,62.40,64.63,62.24,63.94,220154200,63.94
2016-12-19,63.89,64.00,62.40,62.55,134614600,62.55
2016-12-16,64.50,64.835,63.774,63.78,243881100,63.78
2016-12-15,63.08,64.37,62.20,64.37,284266800,64.37
2016-12-14,62.44,64.20,62.32,62.76,263286800,62.76
2016-12-13,61.02,62.72,60.84,62.55,199724100,62.55
2016-12-12,61.74,62.10,61.08,61.38,194936300,61.38
2016-12-09,62.66,62.776,61.34,61.74,164065300,61.74
