Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,741.50,745.50,738.00,742.50,1118200,742.50
2017-03-01,739.00,744.50,733.00,744.50,1207600,744.50
2017-02-28,740.50,744.00,735.50,741.50,1209100,741.50
2017-02-27,744.00,744.00,737.50,741.00,1340500,741.00
2017-02-24,740.50,750.50,733.50,737.50,1875200,737.50
2017-02-23,743.50,760.50,742.50,750.50,1515000,750.50
2017-02-22,751.50,751.50,737.00,744.50,3140700,744.50
2017-02-21,755.00,769.50,745.50,754.00,5172300,754.00
2017-02-20,817.00,828.00,797.00,802.00,1429100,802.00
2017-02-17,831.50,834.00,826.00,828.00,707300,828.00
2017-02-16,822.50,837.00,822.50,827.50,745700,827.50
2017-02-15,827.00,834.00,822.00,824.50,1001200,824.50
2017-02-14,832.00,839.50,818.50,820.00,995300,820.00
2017-02-13,834.00,842.00,828.00,828.50,1144900,828.50
2017-02-10,829.50,840.50,824.52,835.50,1673800,835.50
2017-02-09,803.00,826.50,797.535,825.50,893600,825.50
2017-02-08,788.50,805.50,788.00,805.50,1353000,805.50
2017-02-07,803.00,810.50,800.50,801.50,1269200,801.50
2017-02-06,801.00,817.00,795.50,804.00,988400,804.00
2017-02-03,770.50,792.50,765.50,788.50,1299700,788.50
2017-02-02,760.00,768.50,759.00,765.00,1132800,765.00
2017-02-01,785.00,785.00,761.50,761.50,1555700,761.50
2017-01-31,794.50,796.50,783.00,785.00,1398500,785.00
2017-01-30,793.50,795.00,783.00,788.00,772100,788.00
2017-01-27,811.00,824.00,801.00,810.50,720400,810.50
2017-01-26,801.50,813.00,799.00,807.00,628300,807.00
2017-01-25,800.00,807.50,797.50,802.00,985500,802.00
2017-01-24,791.00,800.50,785.00,797.50,886400,797.50
2017-01-23,784.50,787.50,780.00,786.00,552800,786.00
2017-01-20,790.00,793.50,781.00,789.50,829500,789.50
2017-01-19,793.00,793.50,784.50,793.00,680800,793.00
2017-01-18,798.50,800.50,789.50,797.50,670900,797.50
2017-01-17,808.50,814.50,796.50,796.50,978100,796.50
2017-01-16,794.50,811.50,794.50,806.00,601100,806.00
2017-01-13,790.50,796.50,778.107,792.00,681300,792.00
2017-01-12,787.00,791.50,771.50,791.00,1526100,791.00
2017-01-11,785.50,788.50,780.50,785.50,1360900,785.50
2017-01-10,781.50,791.00,781.50,786.50,1034300,786.50
2017-01-09,782.50,787.50,770.00,781.50,824000,781.50
2017-01-06,776.50,786.50,775.00,786.50,831300,786.50
2017-01-05,773.00,782.00,773.00,779.00,829600,779.00
2017-01-04,770.50,773.50,765.50,772.00,488500,772.00
2017-01-03,775.00,778.50,766.50,768.50,790700,768.50
2017-01-02,771.00,771.00,771.00,771.00,000,771.00
2016-12-30,774.50,779.84,765.50,771.00,426100,771.00
2016-12-29,766.50,779.50,765.00,773.00,658100,773.00
2016-12-28,767.00,767.00,759.00,762.50,897700,762.50
2016-12-27,752.00,752.00,752.00,752.00,000,752.00
2016-12-26,752.00,752.00,752.00,752.00,000,752.00
2016-12-23,748.50,754.50,747.00,752.00,252700,752.00
2016-12-22,750.50,753.00,745.50,747.00,627000,747.00
2016-12-21,759.50,764.50,748.50,751.50,1078500,751.50
2016-12-20,746.00,763.50,742.50,753.00,879600,753.00
2016-12-19,731.50,743.00,731.50,738.50,892800,738.50
2016-12-16,727.00,732.00,715.50,725.00,1228100,725.00
2016-12-15,728.00,731.50,718.00,724.00,1915700,724.00
2016-12-14,745.00,756.00,738.50,744.50,1821300,744.50
2016-12-13,732.50,744.00,729.30,744.00,1355800,744.00
2016-12-12,734.00,745.00,728.50,729.00,1362300,729.00
2016-12-09,707.00,743.00,707.00,737.00,1634300,737.00
2016-12-08,710.50,715.00,697.409,704.50,1341500,704.50
2016-12-07,698.00,710.00,695.50,709.00,1416200,709.00
2016-12-06,695.00,703.00,689.012,698.00,1436700,698.00
2016-12-05,687.00,692.00,683.00,691.50,1119500,691.50
2016-12-02,682.50,692.00,675.50,685.00,1676700,685.00
2016-12-01,707.50,714.00,688.50,690.50,1475900,690.50
2016-11-30,707.00,718.00,704.00,709.50,1929200,709.50
2016-11-29,726.50,730.00,699.00,702.50,2154000,702.50
2016-11-28,736.00,739.50,722.00,722.50,1085400,722.50
2016-11-25,739.50,742.00,723.00,732.50,1356900,732.50
2016-11-24,726.50,729.50,721.50,724.00,1107100,724.00
2016-11-23,728.50,740.00,723.00,732.50,1047100,729.30
2016-11-22,756.50,756.50,729.00,730.50,1438500,727.309
2016-11-21,753.50,759.00,741.00,747.00,1466000,743.737
