Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,218.10,221.70,218.10,221.60,8798200,221.60
2017-03-01,215.50,219.70,214.10,219.00,9961500,219.00
2017-02-28,218.80,219.00,216.00,218.10,9652500,218.10
2017-02-27,219.10,220.60,218.20,219.70,6389000,219.70
2017-02-24,218.50,221.40,216.70,218.70,8594400,218.70
2017-02-23,217.20,221.30,217.20,219.00,6707300,219.00
2017-02-22,218.10,218.201,214.10,216.30,8463000,216.30
2017-02-21,217.00,219.20,215.20,218.10,6456200,218.10
2017-02-20,215.80,217.60,215.60,216.50,4999300,216.50
2017-02-17,217.50,218.40,214.50,216.10,8048700,216.10
2017-02-16,216.00,218.90,215.30,217.50,6816200,217.50
2017-02-15,215.00,217.30,215.00,216.80,6066700,216.80
2017-02-14,213.20,216.60,212.60,213.70,7528500,213.70
2017-02-13,212.30,214.20,212.30,212.90,7017200,212.90
2017-02-10,208.70,211.90,208.70,211.20,9605500,211.20
2017-02-09,206.60,207.70,204.50,207.50,7320600,207.50
2017-02-08,207.20,207.30,204.90,206.50,7599600,206.50
2017-02-07,207.50,209.20,205.80,207.90,7098400,207.90
2017-02-06,208.90,210.00,207.00,207.20,3946700,207.20
2017-02-03,206.40,209.80,206.10,209.00,7856700,209.00
2017-02-02,206.90,208.60,205.10,206.90,5558800,206.90
2017-02-01,209.50,210.50,207.20,207.50,5356700,207.50
2017-01-31,206.80,212.20,206.80,207.70,10304500,207.70
2017-01-30,210.00,210.00,205.00,205.90,13850300,205.90
2017-01-27,215.00,215.60,210.40,213.20,8325600,213.20
2017-01-26,212.60,214.20,211.00,211.80,7562500,211.80
2017-01-25,212.50,214.50,211.90,212.30,6882000,212.30
2017-01-24,209.30,212.00,207.50,210.40,8571600,210.40
2017-01-23,208.10,209.40,206.60,208.60,7027800,208.60
2017-01-20,209.30,211.10,208.20,208.40,8951100,208.40
2017-01-19,210.30,210.90,208.10,209.30,7688200,209.30
2017-01-18,212.40,212.60,208.40,209.90,8656000,209.90
2017-01-17,210.40,213.30,209.70,211.80,9493000,211.80
2017-01-16,212.90,214.20,210.40,210.40,11453000,210.40
2017-01-13,212.30,214.60,211.80,212.50,8350800,212.50
2017-01-12,212.30,213.90,210.60,211.40,8791400,211.40
2017-01-11,208.70,212.50,207.90,211.90,7600300,211.90
2017-01-10,207.80,209.90,206.80,209.10,7373600,209.10
2017-01-09,209.30,210.00,206.30,208.20,5026600,208.20
2017-01-06,206.00,208.20,205.10,208.10,4900400,208.10
2017-01-05,209.20,210.50,205.80,207.10,9602300,207.10
2017-01-04,206.60,209.50,205.70,209.50,6434500,209.50
