Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,7348.00,7361.00,7290.00,7348.00,1034100,7253.00
2017-03-01,7348.00,7370.00,7311.00,7351.00,1195000,7255.961
2017-02-28,7257.00,7346.00,7257.00,7311.00,1394300,7216.479
2017-02-27,7326.00,7353.00,7275.00,7296.00,956000,7201.672
2017-02-24,7245.00,7346.00,7227.00,7311.00,1560700,7216.479
2017-02-23,7250.00,7276.00,7189.00,7253.00,1194200,7159.228
2017-02-22,7067.00,7256.00,7058.00,7229.00,1969200,7135.539
2017-02-21,7056.00,7117.00,7031.00,7075.00,1650800,6983.53
2017-02-20,7100.00,7122.00,6983.00,7041.00,1255300,6949.969
2017-02-17,6901.00,7172.00,6867.00,7100.00,3122900,7008.206
2017-02-16,6989.00,6989.00,6844.00,6901.00,2176300,6811.779
2017-02-15,6921.00,6923.00,6812.00,6894.00,2695100,6804.87
2017-02-14,7028.00,7077.00,6918.00,6926.00,1866400,6836.456
2017-02-13,7035.00,7352.66,6942.00,7075.00,2059200,6983.53
2017-02-10,7200.00,7381.00,7007.00,7025.00,3841200,6934.176
2017-02-09,7274.00,7308.00,7210.41,7239.00,1116600,7145.409
2017-02-08,7101.00,7316.00,7068.00,7287.00,1713800,7192.789
2017-02-07,6892.00,7162.00,6889.93,7109.00,1753400,7017.09
2017-02-06,7100.00,7111.00,6985.00,7025.00,1453100,6934.176
2017-02-03,7149.00,7271.00,7102.00,7129.00,2331800,7036.832
2017-02-02,6950.00,7195.00,6810.20,7109.00,5444700,7017.09
2017-02-01,6840.00,6882.00,6785.00,6830.00,1257600,6741.697
2017-01-31,6836.00,6840.00,6782.00,6804.00,1669300,6716.033
2017-01-30,6822.00,6845.00,6789.00,6821.00,943200,6732.814
2017-01-27,6883.00,6907.90,6772.93,6870.00,1212000,6781.18
2017-01-26,6830.00,6842.04,6708.00,6842.00,1771000,6753.542
2017-01-25,6879.00,6888.00,6769.00,6812.00,1175800,6723.93
2017-01-24,6879.00,6894.00,6784.00,6795.00,1069800,6707.15
2017-01-23,6777.00,6892.00,6743.00,6864.00,1402200,6775.258
2017-01-20,6876.00,6891.00,6810.00,6825.00,1353800,6736.762
2017-01-19,6840.00,6897.00,6805.00,6876.00,1219400,6787.103
2017-01-18,6800.00,6904.24,6776.00,6840.00,967700,6751.568
2017-01-17,6934.00,6961.00,6765.00,6772.00,1282400,6684.447
2017-01-16,6854.00,6957.00,6837.00,6955.00,964000,6865.081
2017-01-13,6887.00,6911.00,6807.89,6845.00,1031500,6756.503
2017-01-12,6636.00,6864.00,6636.00,6848.00,1200100,6759.465
2017-01-11,6690.00,6785.00,6690.00,6755.00,1317700,6667.667
2017-01-10,6793.00,6815.00,6730.00,6783.00,1387700,6695.305
2017-01-09,6708.00,6827.00,6664.00,6803.00,977200,6715.046
2017-01-06,6681.00,6733.00,6655.00,6687.00,903400,6600.546
2017-01-05,6716.00,6795.90,6672.00,6711.00,1224500,6624.236
2017-01-04,6769.00,6800.00,6736.00,6750.00,1227700,6662.732
2017-01-03,6890.00,6918.00,6761.00,6784.00,2037500,6696.292
2017-01-02,6886.00,6886.00,6886.00,6886.00,000,6796.973
2016-12-30,6883.00,6890.00,6820.00,6886.00,752100,6796.973
2016-12-29,6823.00,6863.00,6820.00,6860.00,458000,6771.309
2016-12-28,6811.00,6858.00,6771.00,6856.00,911500,6767.361
2016-12-27,6811.00,6811.00,6811.00,6811.00,000,6722.943
2016-12-26,6811.00,6811.00,6811.00,6811.00,000,6722.943
2016-12-23,6771.00,6827.00,6771.00,6811.00,305200,6722.943
2016-12-22,6748.00,6815.00,6735.00,6815.00,1478900,6726.891
2016-12-21,6750.00,6782.00,6731.00,6744.00,1067300,6656.809
2016-12-20,6777.00,6795.00,6750.00,6766.00,771100,6678.525
2016-12-19,6623.00,6796.00,6611.00,6794.00,1816700,6706.163
2016-12-16,6564.00,6683.00,6550.00,6614.00,1891900,6528.49
2016-12-15,6650.00,6697.00,6577.00,6675.00,1438200,6588.701
2016-12-14,6663.00,6714.00,6590.00,6674.00,1469000,6587.714
2016-12-13,6498.00,6720.00,6496.00,6697.00,1688400,6610.417
2016-12-12,6619.00,6628.00,6501.00,6514.00,1360600,6429.783
2016-12-09,6546.00,6610.36,6535.19,6600.00,1193700,6514.671
2016-12-08,6574.00,6585.00,6512.00,6532.00,889900,6447.55
2016-12-07,6579.00,6592.00,6498.78,6538.00,1299000,6453.472
2016-12-06,6528.00,6566.00,6517.00,6552.00,967300,6467.291
2016-12-05,6570.00,6684.00,6536.00,6553.00,2468100,6468.278
2016-12-02,6600.00,6627.00,6551.00,6593.00,1921200,6507.761
2016-12-01,6719.00,6730.00,6602.00,6628.00,2183200,6542.309
2016-11-30,6782.00,6910.00,6745.00,6763.00,1905600,6675.563
2016-11-29,6710.00,6763.00,6709.00,6763.00,1417100,6675.563
2016-11-28,6808.00,6842.93,6736.00,6742.00,1463800,6654.835
2016-11-25,6754.00,6860.56,6754.00,6817.00,1366100,6728.865
2016-11-24,6794.00,6803.00,6716.00,6756.00,1059600,6668.654
2016-11-23,6845.00,6895.00,6773.00,6796.00,1432800,6708.137
2016-11-22,6907.00,6916.00,6820.00,6820.00,1959800,6731.827
2016-11-21,6920.00,6931.00,6851.00,6866.00,1769900,6777.232
2016-11-18,6922.00,6939.00,6845.00,6916.00,1058800,6826.585
2016-11-17,6909.00,6933.00,6869.00,6893.00,1325600,6803.883
2016-11-16,6936.00,6936.00,6854.66,6895.00,1603700,6805.857
2016-11-15,6842.00,6936.00,6839.95,6914.00,1619600,6824.611
2016-11-14,6929.00,6951.00,6727.89,6795.00,1600900,6707.15
2016-11-11,6886.00,6913.00,6807.00,6871.00,2046100,6782.167
2016-11-10,7092.00,7107.00,6806.00,6866.00,2534200,6777.232
2016-11-09,7022.00,7118.00,6970.00,7066.00,1625100,6974.646
2016-11-08,7100.00,7156.00,7083.00,7140.00,959000,7047.689
2016-11-07,7090.00,7136.00,7053.06,7106.00,1577700,7014.129
2016-11-04,7070.00,7086.00,6969.00,6980.00,1517100,6889.758
2016-11-03,7212.00,7251.00,7077.00,7085.00,1441900,6993.40
2016-11-02,7228.00,7274.00,7213.28,7214.00,1135700,7120.733
2016-11-01,7334.00,7362.00,7251.00,7252.00,1205000,7158.241
2016-10-31,7326.00,7347.00,7286.00,7313.00,1380600,7218.453
2016-10-28,7303.00,7340.00,7248.29,7325.00,1453400,7230.298
2016-10-27,7186.00,7319.00,7181.00,7319.00,1092700,7224.375
