Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,250.00,250.20,241.95,245.00,19689500,245.00
2017-03-01,239.80,245.65,238.70,243.90,19175700,243.90
2017-02-28,232.90,239.40,232.90,237.80,18374500,237.80
2017-02-27,238.30,241.00,232.80,233.40,18304700,233.40
2017-02-24,245.00,248.00,235.00,238.20,28661200,238.20
2017-02-23,250.80,253.80,248.20,249.40,23434500,249.40
2017-02-22,252.90,256.242,248.40,251.50,30725400,251.50
2017-02-21,258.00,259.20,251.80,251.80,30349400,251.80
2017-02-20,254.60,260.90,251.90,258.90,42916200,258.90
2017-02-17,242.90,243.90,237.80,242.40,13392100,242.40
2017-02-16,244.70,247.30,241.833,243.50,14351600,243.50
2017-02-15,242.00,246.90,240.60,246.00,18534900,246.00
2017-02-14,234.40,241.20,233.10,241.00,18214400,241.00
2017-02-13,228.80,235.50,228.60,234.60,14619700,234.60
2017-02-10,234.90,234.90,228.60,228.90,12185300,228.90
2017-02-09,227.60,233.20,226.375,233.10,13710900,233.10
2017-02-08,227.20,231.70,223.80,227.40,23692500,227.40
2017-02-07,223.80,227.90,220.782,225.40,13421300,225.40
2017-02-06,229.10,229.60,223.50,223.90,14820400,223.90
2017-02-03,224.00,229.70,220.70,228.50,14854800,228.50
2017-02-02,224.80,224.80,220.60,222.50,12300000,222.50
2017-02-01,223.40,225.50,222.00,224.20,13561800,224.20
2017-01-31,225.00,228.10,221.60,221.80,15660500,221.80
2017-01-30,229.50,237.237,225.10,225.50,12862000,225.50
2017-01-27,233.30,238.686,228.50,231.80,16040400,231.80
2017-01-26,228.00,242.70,225.309,232.90,36772100,232.90
2017-01-25,222.00,229.40,220.466,227.50,15989400,227.50
2017-01-24,217.60,220.30,216.20,220.00,9867900,220.00
2017-01-23,218.50,219.549,214.80,215.90,13917000,215.90
2017-01-20,220.40,223.00,218.70,220.90,11488300,220.90
2017-01-19,219.00,222.00,217.30,220.10,15002800,220.10
2017-01-18,220.30,220.90,216.70,219.00,19373800,219.00
2017-01-17,215.40,225.20,214.30,220.20,21230500,220.20
2017-01-16,217.40,218.00,213.40,214.90,21895500,214.90
2017-01-13,220.30,222.00,217.40,221.10,21884600,221.10
2017-01-12,222.80,223.90,217.50,218.50,21506300,218.50
2017-01-11,226.40,227.70,221.98,222.70,17730700,222.70
2017-01-10,226.20,229.10,222.40,226.60,16475500,226.60
2017-01-09,232.00,233.90,225.40,227.40,14475500,227.40
2017-01-06,231.50,232.90,229.294,232.40,12747200,232.40
2017-01-05,233.90,236.64,229.70,231.10,10770400,231.10
2017-01-04,232.60,235.80,230.50,234.40,15660900,234.40
2017-01-03,226.90,232.70,226.20,231.00,16553200,231.00
2017-01-02,224.60,224.60,224.60,224.60,000,224.60
2016-12-30,224.60,224.80,221.80,224.60,4665300,224.60
2016-12-29,224.30,226.834,222.20,223.70,10552500,223.70
2016-12-28,230.20,231.60,224.20,225.30,11143500,225.30
2016-12-27,231.10,231.10,231.10,231.10,000,231.10
2016-12-26,231.10,231.10,231.10,231.10,000,231.10
2016-12-23,229.60,236.20,228.80,231.10,7650400,231.10
2016-12-22,226.20,228.80,226.20,228.00,9820000,228.00
2016-12-21,226.00,229.70,223.867,228.40,18356100,228.40
2016-12-20,222.40,226.60,221.40,226.30,12481600,226.30
2016-12-19,228.50,228.70,222.35,223.10,9521100,223.10
2016-12-16,228.10,229.80,226.20,227.60,24487700,227.60
2016-12-15,218.20,229.80,217.579,227.00,21316200,227.00
2016-12-14,220.00,222.40,216.897,217.40,12104200,217.40
2016-12-13,212.60,219.70,210.50,219.50,16160400,219.50
2016-12-12,217.50,220.00,213.20,213.90,14122600,213.90
2016-12-09,221.60,221.80,214.70,217.30,15986300,217.30
2016-12-08,217.40,223.20,215.00,220.30,18136900,220.30
2016-12-07,211.90,218.90,208.70,217.20,23350200,217.20
2016-12-06,197.50,209.70,197.30,209.10,22781100,209.10
2016-12-05,193.90,199.70,191.00,197.80,18556000,197.80
2016-12-02,198.40,200.00,193.20,193.40,14817300,193.40
2016-12-01,192.10,199.70,191.70,199.70,17022800,199.70
2016-11-30,192.30,195.064,187.10,194.30,27651500,194.30
2016-11-29,193.10,197.00,191.40,197.00,14894000,197.00
2016-11-28,201.50,202.682,195.00,196.20,16435700,196.20
2016-11-25,203.20,205.00,200.80,201.50,8569900,201.50
2016-11-24,206.50,206.50,201.70,203.20,8403800,203.20
2016-11-23,206.70,209.00,201.30,205.00,16574100,205.00
2016-11-22,205.70,211.90,205.20,207.80,22661900,207.80
2016-11-21,205.40,206.245,202.745,203.60,12941900,203.60
2016-11-18,205.10,207.208,202.20,205.10,32822600,205.10
2016-11-17,205.40,208.00,200.90,208.00,15171400,208.00
2016-11-16,210.00,213.00,206.70,208.40,24656000,208.40
2016-11-15,211.00,213.40,206.80,212.50,28098600,212.50
2016-11-14,204.40,211.80,203.30,210.40,24067900,210.40
2016-11-11,205.00,205.80,198.90,201.60,21254500,201.60
2016-11-10,193.30,206.00,193.30,202.70,40741100,202.70
2016-11-09,181.00,192.70,180.002,192.30,23382000,192.30
2016-11-08,185.70,187.90,182.60,187.30,26413700,187.30
2016-11-07,188.40,189.60,184.698,186.50,19712600,186.50
2016-11-04,193.70,195.37,184.428,185.00,22332100,185.00
2016-11-03,182.40,197.036,180.90,193.90,37577300,193.90
2016-11-02,185.90,185.915,181.00,182.70,19077800,182.70
2016-11-01,190.60,190.70,185.80,186.60,13504500,186.60
2016-10-31,192.80,193.90,188.435,189.10,20892000,189.10
2016-10-28,203.20,208.00,191.60,194.00,38749300,194.00
2016-10-27,192.10,197.39,188.80,196.40,20282900,196.40
2016-10-26,191.30,194.30,189.30,193.70,16501100,193.70
2016-10-25,187.80,193.20,181.70,192.30,25900600,192.30
2016-10-24,188.10,190.30,186.207,188.00,15316900,188.00
2016-10-21,186.50,190.50,185.25,190.00,22386000,190.00
2016-10-20,181.30,186.70,180.20,186.30,23578200,186.30
2016-10-19,178.20,181.40,176.10,180.00,11482500,180.00
2016-10-18,171.20,177.93,171.20,177.60,19727800,177.60
2016-10-17,171.30,173.00,169.80,170.40,16499900,170.40
2016-10-14,172.00,175.70,171.10,172.80,18433400,172.80
2016-10-13,175.10,176.90,169.40,170.40,22447600,170.40
2016-10-12,181.50,182.20,176.60,176.90,15797400,176.90
2016-10-11,177.40,183.70,176.50,181.00,22356900,181.00
2016-10-10,181.10,181.70,176.40,178.60,17910300,178.60
2016-10-07,185.50,186.50,177.50,181.90,27456600,181.90
2016-10-06,185.30,189.20,184.90,185.50,21797000,185.50
2016-10-05,180.60,184.10,176.90,183.80,17399700,183.80
2016-10-04,179.00,184.304,178.10,182.40,24806200,182.40
2016-10-03,178.40,179.70,171.553,179.30,17850500,179.30
2016-09-30,173.80,179.20,168.20,178.80,32638300,178.80
2016-09-29,179.40,179.52,176.20,177.10,12041400,177.10
2016-09-28,175.20,178.00,173.00,176.40,16689700,176.40
2016-09-27,178.50,179.30,169.60,174.60,23381800,174.60
2016-09-26,181.60,182.00,176.80,177.50,17919000,177.50
2016-09-23,186.80,186.80,181.80,182.60,14580000,182.60
2016-09-22,183.90,187.46,179.70,186.50,17008800,186.50
2016-09-21,183.70,186.50,180.80,183.20,24461300,183.20
2016-09-20,186.10,187.30,183.64,183.70,16306300,183.70
