Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,1515.00,1535.00,1515.00,1535.00,3251900,1535.00
2017-03-01,1506.00,1526.00,1502.00,1520.00,3577800,1520.00
2017-02-28,1502.00,1510.00,1498.00,1505.00,4058900,1505.00
2017-02-27,1503.00,1508.00,1493.00,1502.00,4113100,1502.00
2017-02-24,1494.00,1509.00,1493.00,1494.00,5283400,1494.00
2017-02-23,1484.00,1497.00,1473.00,1497.00,3894000,1497.00
2017-02-22,1476.00,1481.00,1469.00,1479.00,3870000,1479.00
2017-02-21,1483.00,1487.00,1471.00,1472.00,2871600,1472.00
2017-02-20,1492.00,1495.00,1480.00,1483.00,2051800,1483.00
2017-02-17,1473.00,1485.00,1467.00,1484.00,2832400,1484.00
2017-02-16,1469.00,1475.00,1463.00,1471.00,1827500,1471.00
2017-02-15,1466.00,1471.20,1455.00,1468.00,2730600,1468.00
2017-02-14,1468.00,1475.00,1461.00,1463.00,2762800,1463.00
2017-02-13,1468.00,1477.00,1449.82,1471.00,2213200,1471.00
2017-02-10,1467.00,1477.00,1466.00,1469.00,2351900,1469.00
2017-02-09,1452.00,1468.00,1451.72,1466.00,2418300,1466.00
2017-02-08,1454.00,1458.00,1445.00,1455.00,3334200,1455.00
2017-02-07,1443.00,1465.36,1440.00,1459.00,2448100,1459.00
2017-02-06,1441.00,1456.00,1439.00,1444.00,2008700,1444.00
2017-02-03,1440.00,1451.00,1436.00,1442.00,3441600,1442.00
2017-02-02,1412.00,1445.00,1407.00,1438.00,3229000,1438.00
2017-02-01,1424.00,1430.00,1410.00,1415.00,2927400,1415.00
2017-01-31,1421.00,1439.00,1419.00,1423.00,3170400,1423.00
2017-01-30,1404.00,1425.00,1404.00,1421.00,4397800,1421.00
2017-01-27,1400.00,1415.00,1397.00,1412.00,3424300,1412.00
2017-01-26,1411.00,1413.00,1398.00,1398.00,4388000,1398.00
2017-01-25,1417.00,1418.00,1407.00,1410.00,3102400,1410.00
2017-01-24,1422.00,1422.00,1409.00,1413.00,3106600,1413.00
2017-01-23,1422.00,1426.95,1411.00,1420.00,2077500,1420.00
2017-01-20,1422.00,1428.00,1410.08,1425.00,3156000,1425.00
2017-01-19,1426.00,1435.00,1415.00,1421.00,3089800,1421.00
2017-01-18,1445.00,1450.00,1415.00,1426.00,3505500,1426.00
2017-01-17,1464.00,1472.42,1441.00,1441.00,3191300,1441.00
2017-01-16,1469.00,1477.00,1463.00,1471.00,2340900,1471.00
2017-01-13,1479.00,1484.00,1458.85,1464.00,2394700,1464.00
2017-01-12,1448.00,1462.00,1439.00,1461.00,2331000,1461.00
2017-01-11,1449.00,1458.00,1437.00,1452.00,3234100,1452.00
2017-01-10,1462.00,1471.00,1445.00,1451.00,2675600,1451.00
2017-01-09,1444.00,1455.00,1439.00,1455.00,1878900,1455.00
