Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,4960.00,5042.00,4937.00,5002.00,2373500,4981.36
2017-03-01,4867.50,4953.50,4848.00,4950.00,2894000,4929.574
2017-02-28,4881.00,4912.50,4852.00,4854.00,1729000,4833.971
2017-02-27,4852.50,4896.50,4822.00,4873.00,1657600,4852.892
2017-02-24,4941.50,4944.50,4838.00,4844.00,2022600,4824.012
2017-02-23,4895.50,4937.50,4854.50,4928.00,2593800,4907.665
2017-02-22,4799.00,4865.50,4786.00,4855.00,1490600,4834.966
2017-02-21,4787.00,4887.00,4785.00,4810.50,1760600,4790.65
2017-02-20,4850.00,4870.00,4778.50,4801.00,1168500,4781.189
2017-02-17,4746.00,4882.50,4709.00,4836.00,3338300,4816.045
2017-02-16,4636.50,4877.00,4586.00,4763.00,4102800,4743.346
2017-02-15,4617.00,4628.00,4537.00,4589.00,2573800,4570.064
2017-02-14,4506.00,4582.00,4504.16,4558.00,1696100,4539.192
2017-02-13,4585.00,4627.03,4545.50,4558.50,1632500,4539.69
2017-02-10,4598.00,4659.00,4583.00,4595.00,2217600,4576.039
2017-02-09,4530.00,4573.00,4512.79,4572.00,1470100,4553.134
2017-02-08,4547.50,4563.00,4468.50,4534.50,2279000,4515.789
2017-02-07,4460.00,4582.00,4456.00,4561.00,2465600,4542.18
2017-02-06,4461.50,4488.50,4444.50,4448.50,1489200,4430.144
2017-02-03,4453.00,4498.50,4438.50,4461.50,2136900,4443.09
2017-02-02,4446.50,4499.00,4401.00,4452.50,2539800,4434.127
2017-02-01,4451.00,4498.00,4412.50,4466.50,3422700,4448.07
2017-01-31,4379.00,4420.00,4322.50,4379.50,3012100,4361.429
2017-01-30,4367.00,4431.00,4358.50,4363.50,1886400,4345.495
2017-01-27,4385.00,4437.50,4353.50,4389.00,2319500,4370.889
2017-01-26,4425.50,4508.50,4406.50,4438.00,2759100,4419.687
2017-01-25,4391.00,4442.50,4369.00,4405.00,2148900,4386.823
2017-01-24,4329.00,4394.50,4307.75,4366.00,1932500,4347.984
2017-01-23,4348.00,4363.00,4299.00,4320.00,2465800,4302.174
2017-01-20,4451.00,4473.50,4393.00,4393.00,2417000,4374.873
2017-01-19,4524.50,4533.00,4437.50,4483.50,2235900,4464.999
2017-01-18,4524.00,4561.00,4498.00,4503.50,2534900,4484.917
2017-01-17,4594.50,4673.72,4503.00,4515.00,2794700,4496.369
2017-01-16,4650.00,4702.00,4606.00,4619.00,1123100,4599.94
2017-01-13,4609.00,4664.00,4595.50,4661.50,2465700,4642.265
2017-01-12,4600.00,4737.56,4499.50,4555.00,4106700,4536.204
