Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,2328.00,2368.00,2309.00,2367.00,736100,2367.00
2017-03-01,2342.00,2342.00,2310.52,2329.00,562100,2329.00
2017-02-28,2331.00,2338.64,2314.00,2338.00,683800,2338.00
2017-02-27,2358.00,2358.00,2309.00,2324.00,881200,2324.00
2017-02-24,2330.00,2346.15,2319.60,2345.00,463300,2345.00
2017-02-23,2326.00,2329.00,2314.37,2322.00,656900,2322.00
2017-02-22,2327.00,2337.00,2317.00,2325.00,507600,2325.00
2017-02-21,2308.00,2333.00,2304.00,2330.00,596400,2330.00
2017-02-20,2314.00,2321.12,2290.00,2304.00,545300,2304.00
2017-02-17,2295.00,2324.00,2284.77,2310.00,680700,2310.00
2017-02-16,2304.00,2305.00,2270.00,2301.00,553100,2301.00
2017-02-15,2298.00,2306.00,2285.00,2299.00,419600,2299.00
2017-02-14,2295.00,2310.70,2287.00,2296.00,593800,2296.00
2017-02-13,2300.00,2309.34,2264.00,2290.00,871000,2290.00
2017-02-10,2309.00,2323.00,2299.00,2304.00,916200,2304.00
2017-02-09,2326.00,2333.12,2312.00,2312.00,805400,2312.00
2017-02-08,2272.00,2329.15,2266.00,2323.00,751700,2323.00
2017-02-07,2256.00,2295.00,2250.00,2276.00,703200,2276.00
2017-02-06,2251.00,2258.00,2242.00,2250.00,475700,2250.00
2017-02-03,2252.00,2267.00,2237.00,2247.00,633900,2247.00
2017-02-02,2225.00,2274.00,2222.00,2254.00,1809800,2254.00
2017-02-01,2280.00,2298.00,2230.00,2233.00,1060300,2233.00
2017-01-31,2263.00,2287.00,2246.00,2270.00,976200,2270.00
2017-01-30,2247.00,2258.66,2243.00,2257.00,1579100,2257.00
2017-01-27,2218.00,2262.00,2210.00,2262.00,727600,2262.00
2017-01-26,2229.00,2229.00,2207.00,2207.00,632700,2207.00
2017-01-25,2235.00,2244.00,2212.00,2216.00,487600,2216.00
2017-01-24,2221.00,2225.00,2203.00,2222.00,649100,2222.00
2017-01-23,2201.00,2220.00,2191.00,2216.00,728400,2216.00
2017-01-20,2230.00,2241.00,2204.00,2210.00,778300,2210.00
2017-01-19,2245.00,2249.00,2210.00,2235.00,747900,2235.00
2017-01-18,2195.00,2240.00,2193.86,2236.00,818500,2236.00
2017-01-17,2218.00,2221.27,2188.00,2198.00,802100,2198.00
2017-01-16,2213.00,2227.00,2205.00,2219.00,540300,2219.00
2017-01-13,2216.00,2225.00,2196.00,2215.00,743600,2215.00
2017-01-12,2210.00,2218.00,2192.00,2212.00,779500,2212.00
2017-01-11,2192.00,2210.00,2172.00,2201.00,575100,2201.00
2017-01-10,2211.00,2218.80,2192.00,2196.00,545600,2196.00
2017-01-09,2218.00,2227.00,2211.00,2214.00,472900,2214.00
2017-01-06,2214.00,2224.00,2208.00,2215.00,574200,2215.00
2017-01-05,2192.00,2222.00,2190.00,2218.00,496400,2218.00
2017-01-04,2228.00,2228.00,2192.00,2200.00,644700,2200.00
2017-01-03,2222.00,2257.56,2216.00,2222.00,560900,2222.00
2017-01-02,2222.00,2222.00,2222.00,2222.00,000,2222.00
2016-12-30,2246.00,2246.00,2218.00,2222.00,332600,2222.00
2016-12-29,2200.00,2237.00,2200.00,2237.00,364600,2237.00
2016-12-28,2229.00,2229.00,2200.00,2212.00,539800,2212.00
2016-12-27,2228.00,2228.00,2228.00,2228.00,000,2228.00
2016-12-26,2228.00,2228.00,2228.00,2228.00,000,2228.00
2016-12-23,2203.00,2228.00,2203.00,2228.00,175000,2228.00
2016-12-22,2195.00,2215.00,2195.00,2209.00,376200,2209.00
2016-12-21,2206.00,2210.00,2198.00,2204.00,803000,2204.00
2016-12-20,2213.00,2217.00,2196.00,2206.00,604800,2206.00
2016-12-19,2188.00,2218.08,2188.00,2214.00,629900,2214.00
2016-12-16,2181.00,2187.00,2163.00,2183.00,1133300,2183.00
2016-12-15,2173.00,2192.00,2137.00,2184.00,976000,2184.00
2016-12-14,2179.00,2200.00,2171.00,2181.00,952800,2181.00
2016-12-13,2165.00,2195.00,2158.04,2190.00,858000,2190.00
2016-12-12,2146.00,2172.00,2141.00,2165.00,1222200,2165.00
2016-12-09,2096.00,2148.00,2096.00,2147.00,1186700,2147.00
2016-12-08,2104.00,2129.00,2086.00,2102.00,1273200,2102.00
2016-12-07,2078.00,2086.00,2047.00,2086.00,796100,2086.00
2016-12-06,2082.00,2093.00,2064.00,2073.00,1155900,2073.00
2016-12-05,2127.00,2135.00,2072.00,2074.00,769900,2074.00
2016-12-02,2102.00,2149.60,2099.00,2127.00,694000,2127.00
2016-12-01,2146.00,2156.60,2078.00,2113.00,972600,2113.00
2016-11-30,2225.00,2232.00,2186.34,2187.00,1190100,2154.40
2016-11-29,2237.00,2237.59,2193.00,2221.00,744000,2187.893
2016-11-28,2208.00,2241.00,2208.00,2231.00,756000,2197.744
2016-11-25,2204.00,2216.00,2197.00,2211.00,528400,2178.042
2016-11-24,2288.00,2288.00,2198.00,2209.00,603500,2176.072
2016-11-23,2226.00,2282.18,2226.00,2233.00,758600,2199.714
2016-11-22,2234.00,2258.00,2218.00,2220.00,666100,2186.908
2016-11-21,2220.00,2228.00,2199.00,2218.00,926000,2184.938
2016-11-18,2232.00,2233.00,2195.00,2220.00,837000,2186.908
2016-11-17,2187.00,2238.00,2187.00,2227.00,1081500,2193.804
2016-11-16,2140.00,2200.00,2138.00,2186.00,1309800,2153.415
2016-11-15,2112.00,2169.00,2101.00,2139.00,960600,2107.115
2016-11-14,2189.00,2189.00,2091.00,2095.00,1076500,2063.771
