Date,Open,High,Low,Close,Volume,Adj Close
2017-03-02,975.50,989.00,970.00,988.50,1493900,988.50
2017-03-01,980.00,980.00,964.13,973.50,1675700,973.50
2017-02-28,978.00,980.50,972.50,978.50,1951000,978.50
2017-02-27,980.00,981.20,970.00,976.50,1581000,976.50
2017-02-24,966.50,980.50,963.00,979.00,1868700,979.00
2017-02-23,966.50,968.00,958.50,964.50,1997200,964.50
2017-02-22,965.50,969.50,959.00,961.50,2055000,961.50
2017-02-21,953.00,963.00,951.50,963.00,1952800,963.00
2017-02-20,950.00,954.50,945.26,949.50,1108700,949.50
2017-02-17,948.50,958.50,943.374,951.00,1966600,951.00
2017-02-16,945.00,947.50,937.65,946.50,1375900,946.50
2017-02-15,950.50,950.90,943.00,946.00,1169100,946.00
2017-02-14,945.50,951.50,943.00,946.50,2945100,946.50
2017-02-13,950.00,950.50,940.50,943.50,2305400,943.50
2017-02-10,949.50,952.50,944.755,950.00,3372400,950.00
2017-02-09,950.00,953.00,939.154,948.00,1874600,948.00
2017-02-08,923.00,948.245,920.50,947.00,2032400,947.00
2017-02-07,918.00,928.50,916.50,926.00,1598900,926.00
2017-02-06,917.00,921.00,912.50,915.50,1147500,915.50
2017-02-03,912.00,916.50,908.50,913.50,1724500,913.50
2017-02-02,903.50,916.244,898.00,909.50,4057800,909.50
2017-02-01,925.00,931.50,902.00,903.00,2960100,903.00
2017-01-31,911.00,920.55,904.50,917.00,3021700,917.00
2017-01-30,900.00,910.745,898.00,908.00,2325000,908.00
2017-01-27,893.50,899.50,889.50,899.50,1055000,899.50
2017-01-26,896.50,897.00,888.00,889.50,1651600,889.50
2017-01-25,903.00,905.00,893.50,895.50,1546300,895.50
2017-01-24,902.00,902.10,892.50,900.00,1996800,900.00
2017-01-23,894.00,901.50,882.00,901.50,2043700,901.50
2017-01-20,901.50,906.00,892.50,895.00,2540000,895.00
2017-01-19,900.00,902.164,889.35,899.00,2217600,899.00
2017-01-18,889.50,901.50,888.00,897.50,2724200,897.50
2017-01-17,889.50,894.50,878.575,887.00,1948000,887.00
2017-01-16,895.00,900.50,891.00,894.50,1244400,894.50
2017-01-13,899.00,899.50,885.50,890.00,1779600,890.00
2017-01-12,894.00,897.00,884.50,896.00,1975100,896.00
2017-01-11,885.50,896.00,880.50,894.00,1647400,894.00
2017-01-10,897.00,901.50,888.50,890.50,2037400,890.50
2017-01-09,899.50,903.50,896.00,898.00,1143100,898.00
2017-01-06,899.00,902.50,891.50,897.00,1091500,897.00
2017-01-05,886.50,900.00,879.50,900.00,1926900,900.00
2017-01-04,897.50,899.28,884.00,891.00,1617800,891.00
2017-01-03,909.00,916.50,896.00,898.50,1561200,898.50
2017-01-02,901.00,901.00,901.00,901.00,000,901.00
2016-12-30,906.00,910.00,895.757,901.00,1170400,901.00
2016-12-29,892.50,907.50,890.90,907.50,930200,907.50
2016-12-28,896.00,907.50,892.00,894.00,1347800,894.00
2016-12-27,900.00,900.00,900.00,900.00,000,900.00
2016-12-26,900.00,900.00,900.00,900.00,000,900.00
2016-12-23,886.50,900.00,886.50,900.00,406900,900.00
2016-12-22,885.50,891.75,884.50,889.50,860400,889.50
2016-12-21,886.00,890.00,884.00,887.50,816200,887.50
2016-12-20,893.00,896.50,885.025,889.50,1858100,889.50
2016-12-19,882.50,896.00,882.50,893.00,1531200,893.00
2016-12-16,881.00,894.95,876.00,880.00,3445800,880.00
2016-12-15,871.50,886.00,860.50,882.00,2920600,882.00
2016-12-14,896.00,899.00,885.50,892.00,3240000,879.05
2016-12-13,893.00,900.50,889.50,899.00,1863000,885.948
2016-12-12,892.00,896.00,884.50,893.00,1736900,880.035
2016-12-09,882.50,897.00,880.50,892.50,2723300,879.543
2016-12-08,885.50,892.00,875.448,879.50,2918800,866.731
2016-12-07,871.00,877.50,856.00,877.50,1601200,864.76
2016-12-06,862.00,873.50,859.50,869.00,1488000,856.384
2016-12-05,881.00,883.50,858.50,858.50,2093900,846.036
2016-12-02,870.50,884.00,868.50,882.50,1948800,869.688
2016-12-01,876.00,879.50,862.50,872.50,2310700,859.833
2016-11-30,905.00,911.50,881.50,883.00,3067900,870.181
2016-11-29,907.50,910.50,891.50,903.00,1968200,889.89
2016-11-28,891.00,914.00,891.00,907.50,1685000,894.325
2016-11-25,893.00,900.00,892.00,894.50,1297200,881.514
2016-11-24,903.50,916.542,891.00,893.50,1919100,880.528
2016-11-23,893.00,926.00,893.00,902.00,2814800,888.905
2016-11-22,905.00,912.50,894.50,895.50,2090100,882.499
2016-11-21,894.50,898.00,885.50,893.00,1685200,880.035
2016-11-18,894.50,901.00,885.50,893.50,2743000,880.528
2016-11-17,885.00,903.00,884.00,894.50,2809600,881.514
2016-11-16,880.50,889.00,873.00,882.00,2674600,869.195
2016-11-15,864.00,889.00,864.00,875.50,2739100,862.79
2016-11-14,884.00,884.00,853.50,854.50,2604500,842.094
2016-11-11,864.50,894.00,864.50,879.00,3225200,866.239
2016-11-10,916.00,920.00,859.00,865.50,4511200,852.935
2016-11-09,905.00,927.50,902.50,910.00,3088600,896.789
2016-11-08,914.50,924.00,914.50,919.50,1516600,906.151
2016-11-07,929.00,936.00,910.50,914.50,2253900,901.223
2016-11-04,917.50,937.00,913.00,923.50,2240100,910.093
2016-11-03,918.00,923.50,911.00,922.00,2997400,908.614
2016-11-02,918.00,928.50,914.342,914.50,1767100,901.223
2016-11-01,939.50,943.00,923.50,923.50,1464300,910.093
2016-10-31,937.50,945.00,931.50,940.00,1887300,926.353
2016-10-28,929.00,941.445,921.50,938.00,2017700,924.382
2016-10-27,930.50,943.50,924.82,928.00,1520100,914.527
2016-10-26,934.00,937.00,928.15,930.00,1174500,916.498
2016-10-25,935.00,940.50,932.50,934.50,1194200,920.933
2016-10-24,954.00,960.00,933.00,933.00,1620700,919.455
2016-10-21,951.50,956.50,950.00,954.00,2286200,940.15
2016-10-20,955.00,956.00,947.50,953.50,1302000,939.657
2016-10-19,960.50,960.50,947.00,955.50,1643700,941.628
2016-10-18,935.00,950.00,935.00,950.00,2115500,936.208
2016-10-17,958.50,958.50,932.50,935.00,1960200,921.426
2016-10-14,941.00,950.00,940.50,944.00,2160900,930.295
2016-10-13,920.50,943.00,918.50,940.50,2656200,926.846
2016-10-12,920.50,930.00,912.00,915.00,2303500,901.716
2016-10-11,913.50,928.85,910.50,922.50,2263700,909.107
2016-10-10,925.00,926.056,908.00,913.00,2649500,899.745
2016-10-07,935.50,942.00,919.92,920.00,3387300,906.643
2016-10-06,952.50,955.50,928.50,930.00,2958800,916.498
2016-10-05,979.50,985.00,949.50,951.00,3657500,937.193
2016-10-04,1001.00,1005.00,993.00,994.50,4773600,980.062
2016-10-03,998.00,1009.00,992.50,1000.00,1744800,985.482
2016-09-30,994.50,1006.00,988.00,1003.00,2739600,988.438
2016-09-29,1000.00,1016.27,999.50,1002.00,2104800,987.453
2016-09-28,996.00,1001.00,990.50,995.50,1295000,981.047
2016-09-27,989.00,999.00,986.50,995.50,1373400,981.047
2016-09-26,996.00,996.00,984.82,986.00,1932500,971.685
2016-09-23,1001.00,1004.00,995.00,1001.00,1116700,986.468
2016-09-22,995.00,1009.50,988.50,1003.00,1544400,988.438
2016-09-21,1003.00,1004.00,984.50,986.00,1297800,971.685
2016-09-20,989.00,1003.00,986.50,998.00,1408500,983.511
2016-09-19,985.00,999.375,982.50,987.50,2181600,973.164
2016-09-16,980.00,983.962,974.00,979.00,3456500,964.787
2016-09-15,976.00,981.185,972.00,980.00,1262100,965.772
2016-09-14,978.00,986.00,975.00,977.50,2535900,963.309
2016-09-13,975.50,979.50,966.27,976.50,1336600,962.323
2016-09-12,968.00,978.50,961.50,971.00,1767900,956.903
2016-09-09,998.50,1005.00,978.00,978.50,1657400,964.294
2016-09-08,996.50,1008.00,995.70,999.50,1577100,984.989
2016-09-07,988.00,1001.00,986.50,998.50,1889200,984.004
2016-09-06,995.00,1005.01,989.00,1004.00,1576300,989.424
2016-09-05,992.00,997.50,985.50,992.50,1316500,978.091
2016-09-02,972.00,996.00,971.50,991.50,2643400,977.105
2016-09-01,974.50,977.50,962.50,968.00,1518900,953.947
2016-08-31,971.00,975.50,961.262,971.50,1683400,957.396
2016-08-30,976.00,984.00,968.00,970.50,1078900,956.41
2016-08-29,981.50,981.50,981.50,981.50,000,967.251
2016-08-26,977.00,989.00,974.50,981.50,962600,967.251
2016-08-25,967.50,983.00,965.50,977.00,1249800,962.816
2016-08-24,977.00,983.14,967.50,969.00,1082700,954.932
2016-08-23,991.50,996.00,979.50,981.00,1233400,966.758
2016-08-22,988.00,992.00,982.056,988.50,913700,974.149
2016-08-19,988.00,995.50,984.50,986.50,985100,972.178
2016-08-18,993.50,1001.00,986.50,988.00,846600,973.656
2016-08-17,993.00,996.50,985.50,986.50,1401300,972.178
2016-08-16,1000.00,1003.00,991.00,991.50,1606900,977.105
2016-08-15,1007.00,1008.00,999.085,1003.00,954900,988.438
2016-08-12,998.00,1006.01,995.50,1006.00,787700,991.395
2016-08-11,988.50,999.50,985.861,999.50,1053300,984.989
2016-08-10,984.50,989.00,980.50,988.50,1777900,974.149
2016-08-09,982.00,991.50,980.402,989.50,1176600,975.134
2016-08-08,981.00,986.50,972.59,979.00,1344800,964.787
2016-08-05,999.50,1007.00,983.50,987.00,1848200,972.671
2016-08-04,986.00,999.64,967.00,994.00,1962300,979.569
2016-08-03,1001.00,1004.00,981.00,981.00,1899100,966.758
2016-08-02,1015.00,1016.00,1003.00,1005.00,1035500,990.409
2016-08-01,1019.00,1025.00,1011.00,1014.00,946900,999.279
2016-07-29,1024.00,1024.00,1004.64,1017.00,1672000,1002.235
2016-07-28,1022.00,1025.00,1016.18,1019.00,1011700,1004.206
2016-07-27,1022.00,1024.56,1013.00,1020.00,1411700,1005.192
2016-07-26,1029.00,1035.18,1019.00,1024.00,1258900,1009.134
2016-07-25,1024.00,1029.00,1019.00,1029.00,1091100,1014.061
2016-07-22,1013.00,1026.00,1009.29,1021.00,1231400,1006.177
2016-07-21,1017.00,1027.00,1013.00,1013.00,1716000,998.293
2016-07-20,1024.00,1034.00,1024.00,1029.00,1011200,1014.061
2016-07-19,1022.00,1027.00,1021.00,1024.00,935400,1009.134
2016-07-18,1018.00,1031.00,1015.00,1026.00,2247000,1011.105
2016-07-15,1025.00,1025.00,1008.00,1019.00,1617600,1004.206
2016-07-14,1035.00,1039.00,1017.00,1017.00,1657900,1002.235
2016-07-13,1013.00,1036.00,1009.00,1030.00,2075300,1015.046
2016-07-12,1032.00,1037.00,1013.00,1014.00,1445800,999.279
2016-07-11,1032.00,1037.00,1019.00,1032.00,1528200,1017.017
2016-07-08,1016.00,1030.00,1016.00,1026.00,1394900,1011.105
2016-07-07,1044.00,1046.00,1019.00,1019.00,2270800,1004.206
2016-07-06,1036.00,1065.55,1027.00,1032.00,2604600,1017.017
